Unnamed: 0,Material number_x,Supplier_x,Contract_x,Contract Position_x,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type_x,Special procurement type_x,Dispatcher_x,Buyer_x,Purchasing group_x,Purchasing lot size_x,Total quantity_x,Total value_x,Price unit_x,Calendar_x,Plant_x,Plant information record_x,Information record number_x,Information record type_x,Plant processing time_x,Material master time_x,Product group_x,Base unit_x,Material number_y,Supplier_y,Contract_y,Contract Position_y,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Procurement type_y,Special procurement type_y,Dispatcher_y,Buyer_y,Purchasing group_y,Purchasing lot size_y,Total quantity_y,Total value_y,Price unit_y,Calendar_y,Plant_y,Plant information record_y,Information record number_y,Information record type_y,Plant processing time_y,Material master time_y,Product group_y,Base unit_y,if_anomaly
1428,00400628,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019953.0,0.0,1.0,21,10301000,MM,00400628,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019953.0,0.0,1.0,21,10301000,MM,0
2082,00400397,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018046.0,0.0,1.0,42,10301000,MM,00400397,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018046.0,0.0,1.0,42,10301000,MM,0
3740,00400488,700464,,0,,,,F,,206,206.0,Z001,Z7,60000.0,39338.0,1000,,2000,,5300018792.0,0.0,1.0,21,10301000,MM,00400488,700464,,0,,,,F,,206,206.0,Z001,Z7,60000.0,39338.0,1000,,2000,,5300018792.0,0.0,1.0,21,10301000,MM,0
5078,00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,10301000,MM,00400977,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300019945.0,0.0,1.0,14,10301000,MM,0
5497,00400416,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300018182.0,0.0,1.0,14,10301000,MM,00400416,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300018182.0,0.0,1.0,14,10301000,MM,0
5961,00341363,700808,4600012164.0,10,365.0,,,F,30.0,215,215.0,Z001,X1,5170.0,12440054.0,1,,2000,,5300113375.0,3.0,1.0,365,80800000,ST,00341363,700808,4600012164.0,10,365.0,,,F,30.0,215,215.0,Z001,X1,5170.0,12440054.0,1,,2000,,5300113375.0,3.0,1.0,365,80800000,ST,0
5998,00180048,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1000,E13,2000,,5300017606.0,0.0,1.0,42,100300000,MM,00180048,701256,,0,,,,F,,215,215.0,Z002,Y3,,,1000,E13,2000,,5300017606.0,0.0,1.0,42,100300000,MM,0
7649,00400427,2000,,0,,,,F,72.0,206,206.0,Z012,Z2,,,1000,,3000,3000.0,5300216695.0,0.0,1.0,28,10301000,MM,00400427,2000,,0,,,,F,72.0,206,206.0,Z012,Z2,,,1000,,3000,3000.0,5300216695.0,0.0,1.0,28,10301000,MM,0
8239,9001462,703564,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300053499.0,0.0,40.0,112,110500000,ST,9001462,703564,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300053499.0,0.0,40.0,112,110500000,ST,0
9260,00402092,702533,,0,,,,F,,206,206.0,Z001,Z4,55000.0,31954.0,1000,,2000,,5300065063.0,0.0,1.0,70,10301000,MM,00402092,702533,,0,,,,F,,206,206.0,Z001,Z4,55000.0,31954.0,1000,,2000,,5300065063.0,0.0,1.0,70,10301000,MM,0
