Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity_x,Total value_x,Price unit_x,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time_x,Material master time_x,Product group,Base unit,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Total quantity_y,Total value_y,Price unit_y,Plant processing time_y,Material master time_y
68,00400053,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300016012.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
76,00401285,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300171647.0,0.0,1.0,20,10302000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,20.0
230,00400090,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016370.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
489,00400982,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217144.0,0.0,1.0,35,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
590,00400428,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018272.0,0.0,1.0,14,10301000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
725,00400123,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016724.0,0.0,1.0,14,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
745,00400325,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017566.0,0.0,1.0,14,10303000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1114,00400607,700464,,0,,,,F,,206,206.0,Z001,Z7,25000.0,3288.0,1000,,2000,,5300019804.0,0.0,1.0,14,10302000,MM,0.0,0.0,0.0,25000.0,3288.0,1000.0,1.0,14.0
1137,04004628,701112,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300116516.0,0.0,1.0,42,110100000,ST,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
1193,00400124,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216486.0,0.0,1.0,35,10201000,MM,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
