Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
68,00400053,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300016012.0,0.0,1.0,14,10201000,MM,00400053,702533,,0,0,0,0,F,,206,206.0,Z002,Z7,0,0,1000,,2000,,5300016012.0,0.0,1,14,010201000,MM,0.2388690476190476,1
76,00401285,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300171647.0,0.0,1.0,20,10302000,MM,00401285,702533,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2000,,5300171647.0,0.0,1,20,010302000,MM,0.1693333333333333,1
188,00110614,703351,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300004001.0,0.0,15.0,14,70600000,ST,00110614,703351,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2100,,5300004001.0,0.0,15,14,070600000,ST,0.18,1
230,00400090,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016370.0,0.0,1.0,14,10201000,MM,00400090,702533,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2000,,5300016370.0,0.0,1,14,010201000,MM,0.2388690476190476,1
489,00400982,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217144.0,0.0,1.0,35,10301000,MM,00400982,2000,,0,0,0,0,F,72.0,206,206.0,Z012,Z7,0,0,1000,,3000,3000.0,5300217144.0,0.0,1,35,010301000,MM,0.2366666666666666,1
590,00400428,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018272.0,0.0,1.0,14,10301000,MM,00400428,700464,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300018272.0,0.0,1,14,010301000,MM,0.2388690476190476,1
725,00400123,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016724.0,0.0,1.0,14,10201000,MM,00400123,700464,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2100,,5300016724.0,0.0,1,14,010201000,MM,0.2388690476190476,1
745,00400325,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017566.0,0.0,1.0,14,10303000,MM,00400325,702533,,0,0,0,0,F,,206,206.0,Z001,Z7,0,0,1000,,2100,,5300017566.0,0.0,1,14,010303000,MM,0.2388690476190476,1
1114,00400607,700464,,0,,,,F,,206,206.0,Z001,Z7,25000.0,3288.0,1000,,2000,,5300019804.0,0.0,1.0,14,10302000,MM,00400607,700464,,0,0,0,0,F,,206,206.0,Z001,Z7,25000,3288,1000,,2000,,5300019804.0,0.0,1,14,010302000,MM,0.08,1
1137,04004628,701112,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300116516.0,0.0,1.0,42,110100000,ST,04004628,701112,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1000,,2000,,5300116516.0,0.0,1,42,110100000,ST,0.164095238095238,1
