Index,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
5860,310810,700095,,0,,,,F,,203,203,Z001,Y5,7250.0,439936.0,1,E11,3000,,5300004100,0,1.0,70,30202000,ST,1
15320,4002720,700961,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300106740,0,1.0,14,71000000,ST,1
10419,341387,706186,,0,,,,F,,215,215,Z012,Y5,80.0,35.0,100,E11,3000,,5300092889,0,1.0,28,80600000,ST,1
8158,311233,701424,,0,,,,F,,703,703,Z001,Z7,,,100,,2000,,5300097214,0,1.0,14,130000000,ST,1
352,393421,704232,4600004693.0,50,28.0,,,F,40.0,206,206,Z001,Z1,,,1,,2100,,5300063284,0,1.0,3,520300000,ST,1
10463,60032467,700000,,0,,,,F,,279,279,Z001,Z7,1050.0,693.0,100,,3000,,5300552389,0,1.0,28,10500000,ST,1
1148,311031,703080,,0,,,,F,,233,233,Z001,Y2,20.0,5488.0,100,E13,3000,,5300005181,0,1.0,365,110000000,ST,1
10416,311410,718689,5500007897.0,10,14.0,14.0,49.0,F,,733,733,Z008,Y2,,,1,E13,2000,,5300535536,0,1.0,14,110100000,ST,1
16575,430042,709173,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300155070,0,15.0,21,80100000,ST,1
11189,4007038,706899,,0,,,,F,,276,276,Z012,Z9,60.0,54157.0,1,,3000,,5300156341,0,1.0,70,70600000,ST,1
323,494330,709451,,0,,,,F,,233,233,Z011,Y2,2180.0,26588.0,100,E13,2100,,5300159090,0,1.0,14,60100000,ST,1
8757,390965,702629,,0,,,,F,,206,206,Z001,Z1,,,1,,2100,,5300013356,0,1.0,14,530500000,ST,1
13584,23334500,2000,,0,,,,F,40.0,999,999,Z012,Z4,,,1,,3000,3000.0,5300529213,0,1.0,999,550100000,ST,1
18548,310442,708543,,0,,,,F,,233,233,Z011,Y9,3760.0,1294506.0,1,E13,3000,,5300142358,0,1.0,154,110600000,ST,1
274,346799,705072,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300163933,0,1.0,14,80600000,ST,1
11733,4000925,706803,,0,,,,F,,206,206,Z001,Z7,,,100,,2000,,5300105767,0,1.0,14,131400000,ST,1
7898,393994,700962,,0,,,,F,,206,206,Z001,Z7,45000.0,3690.0,100,,3000,,5300162278,0,1.0,30,520000000,ST,1
6926,4006952,700239,,0,,,,F,,707,707,Z001,Z2,,,1,,2000,,5300155541,0,1.0,21,100202000,ST,1
2128,393915,709186,,0,,,,F,,206,206,Z001,X1,13740.0,233574.0,1,,2000,,5300155308,0,1.0,50,530300000,ST,1
6428,60053572,708094,,0,,,,F,,211,211,Z001,Y3,,,1,E15,2100,,5300425970,0,1.0,35,10301010,ST,1
4050,341197,708235,,0,,,,F,,215,215,Z008,Y4,,,1,E13,2000,,5300137171,0,1.0,42,80200000,ST,1
17174,34080911,700670,,0,,,,F,,213,213,Z001,Z1,,,1,,2100,,5300046438,0,1.0,35,40000000,ST,1
8150,29090104,702515,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300037077,0,1.0,14,80100000,ST,1
6221,60021388,701218,,0,,,,F,,714,714,Z012,Y5,80.0,17304.0,1,E15,3000,,5300372884,0,1.0,182,70100000,ST,1
796,4007041,706899,,0,,,,F,,998,998,Z001,Z1,,,1,,2100,,5300156344,0,1.0,28,70000000,ST,1
10211,60086056,708094,,0,,,,F,,211,211,Z001,Y3,,,100,E15,2100,,5300466031,0,1.0,35,10301010,ST,1
4376,60125583,701805,,0,,,,F,,278,278,Z012,Z1,,,1,,3000,,5300544933,0,1.0,28,70500000,ST,1
4117,370527,703992,,0,,,,F,,203,203,Z001,W2,,,100,,2100,,5300058233,0,40.0,49,140700000,ST,1
18452,24343003,701528,5500007589.0,10,14.0,14.0,56.0,F,,733,733,Z011,Y4,270.0,47234.0,1,E14,2000,,5300172028,0,1.0,84,60100000,ST,1
3116,4006373,705748,,0,,,,F,,206,206,Z001,Z1,,,1,,2000,,5300140950,0,1.0,30,100300000,ST,1
853,385553,706869,,0,,,,F,,703,703,Z001,Z1,,,1,,2000,,5300103604,0,1.0,21,130000000,ST,1
18291,140022,702513,,0,,,,F,,708,708,Z001,Z1,,,1,,2100,,5300012456,0,1.0,42,131200000,ST,1
7345,340035,701202,,0,,,,F,,215,215,Z002,Y5,75.0,178.0,1,E13,2000,,5300383133,0,1.0,14,80100000,M,1
18514,4004848,713050,,0,,,,F,,279,279,Z001,Z7,20.0,1644.0,100,,3000,,5300373088,0,1.0,28,80500000,ST,1
11184,345510,709734,,0,,,,F,,215,215,Z001,Z1,,,1,,2100,,5300196284,0,1.0,56,80300000,ST,1
15033,23791002,701836,,0,,,,F,,223,223,Z001,Z1,,,1,,2100,,5300022981,0,1.0,21,10502000,ST,1
11340,347925,700066,,0,,,,F,,203,203,Z011,Y5,,,1,E11,2100,,5300192471,0,1.0,168,131300000,ST,1
13078,60060306,712080,,0,,,,F,,279,279,Z001,Y3,3600.0,21960.0,1,E13,3000,,5300427389,0,1.0,35,0,ST,1
