Index,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
29,95194023,712009,5500003451.0,20,14.0,14.0,112.0,F,,715,715,Z001,Y9,36940.0,391579.0,100,E13,2000,,5300194607,0,1.0,14,90400000,ST,
35,370453,700020,,0,,,,F,,708,708,Z011,X4,,,100,E20,2100,,5300003771,0,1.0,12,140100000,ST,
68,400053,702533,,0,,,,F,,206,206,Z002,Z7,,,1000,,2000,,5300016012,0,1.0,14,10201000,MM,
76,401285,702533,,0,,,,F,,206,206,Z001,Z1,,,1000,,2000,,5300171647,0,1.0,20,10302000,MM,
92,60018843,701863,4600012862.0,10,84.0,,,F,,215,215,Z001,Z3,2390.0,602953.0,1,,2100,,5300380189,0,1.0,84,80400000,ST,
148,60080757,2000,,0,,,,F,40.0,224,224,Z012,Z5,,,100,,3000,3000.0,5300464653,0,1.0,10,10100000,ST,
188,110614,703351,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300004001,0,15.0,14,70600000,ST,
228,28181900UB,700585,4600012585.0,10,84.0,,,F,,203,203,Z010,Y5,80.0,62712.0,1,E14,3000,,5300084186,0,1.0,14,10401000,ST,
230,400090,702533,,0,,,,F,,206,206,Z001,Z7,,,1000,,2000,,5300016370,0,1.0,14,10201000,MM,
261,270237,703564,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300033991,0,40.0,112,60200000,ST,
281,350787,701806,5500003585.0,10,4.0,4.0,60.0,F,,708,708,Z011,V5,9030.0,3139.0,100,E98,2000,,5300391586,0,2.0,4,140200000,ST,
285,130062,703568,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300010933,0,15.0,84,70200000,ST,
324,240245,704239,5500005435.0,10,60.0,60.0,183.0,F,,708,708,Z011,Y5,1260.0,464926.0,1,E13,2100,,5300143131,0,1.0,360,90200000,ST,
353,4005135,701112,,0,,,,F,,272,272,Z012,Z2,90.0,14373.0,1000,,3000,,5300119991,0,1.0,28,110100000,ST,
392,370020,700020,,0,,,,F,,708,708,Z011,X4,,,100,E20,3000,,5300020170,0,1.0,12,140100000,ST,
402,310668,700095,,0,,,,F,,203,203,Z001,Y5,2410.0,247231.0,1,E11,3000,,5300003305,0,10.0,70,30202000,ST,
427,60024860,709741,5500005523.0,10,42.0,42.0,42.0,F,30.0,713,713,Z008,V9,,,1,E18,2000,,5300386627,3,1.0,42,10402000,ST,
489,400982,2000,,0,,,,F,72.0,206,206,Z012,Z7,,,1000,,3000,3000.0,5300217144,0,1.0,35,10301000,MM,
492,350865,700020,,0,,,,F,,708,708,Z011,X4,,,100,E20,2100,,5300133387,0,1.0,12,140200000,ST,
514,346471,2000,,0,,,,F,40.0,215,215,Z001,Y5,3190.0,22968141.0,1,E13,2100,3000.0,5300145913,0,1.0,2,80300000,ST,
517,24150502,701528,4600008927.0,10,56.0,,,F,,233,233,Z011,Y4,1130.0,241705.0,1,E14,3000,,5300076415,0,1.0,84,60100000,ST,
562,C1027505,700095,,0,,,,F,,203,203,Z001,Z1,,,1,,2000,,5300048234,0,20.0,56,30202000,ST,
576,24596806,2000,,0,,,,F,40.0,206,206,Z012,Z1,33900.0,856176.0,100,,3000,3000.0,5300183589,0,1.0,120,100200000,ST,
583,360645,701806,,0,,,,F,,208,208,Z011,V4,8340.0,1877.0,100,E98,3000,,5300173953,0,2.0,13,140100000,ST,
590,400428,700464,,0,,,,F,,206,206,Z001,Z1,,,1000,,2100,,5300018272,0,1.0,14,10301000,MM,
595,60054443,2100,,0,,,,F,41.0,215,215,Z001,Z3,23050.0,8059074.0,1,,2000,2000.0,5300497768,0,1.0,2,80400000,ST,
615,370027,700020,,0,,,,F,,208,208,Z011,X4,9930.0,616.0,100,E20,2000,,5300020219,0,1.0,12,140100000,ST,
650,384088,708008,,0,,,,F,,703,703,Z008,Y2,,,1000,E11,2000,,5300126891,0,1.0,14,120000000,MM,
651,401703,703555,,0,,,,F,,203,203,Z001,Z1,,,1,,2100,,5300020315,0,40.0,98,131000000,ST,
