Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Gesamtbestand,Gesamtwert,Preiseinheit,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,anomaly
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,1,91,0
0,0,0,0,0,1,1,91,0
0,0,0,0,0,1,1,91,0
0,0,0,0,0,100,1,140,0
0,0,0,0,0,100,1,140,0
0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,1,1,0
0,0,0,0,0,1,1,1,0
0,0,0,0,0,100,1,14,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,35,0
0,0,0,0,0,100,1,14,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,1000,1,3,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,84,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,999,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,1,1,2,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,100,1,999,0
0,0,0,0,0,100,1,999,0
0,0,0,0,0,1,1,2,0
0,0,0,0,0,1,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,56,0
0,0,0,0,0,100,1,140,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,35,0
0,0,0,0,0,1,1,35,0
0,0,0,0,0,100,1,14,0
0,0,0,0,0,100,1,20,0
0,0,0,0,0,100,1,84,0
0,0,0,0,0,100,1,84,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,126,0
0,0,0,0,0,100,1,168,0
0,0,0,0,0,1,1,2,0
0,0,0,0,0,1,1,56,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,2,0
0,0,0,0,0,1,1,119,0
0,0,0,0,0,1,1,35,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,1,1,25,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,50,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,100,1,99,0
0,0,0,0,0,0,1,50,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,0,1,14,0
0,0,0,0,0,1,1,25,0
0,0,0,0,0,0,1,50,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,0,1,50,0
0,0,0,0,0,0,1,25,0
0,0,0,0,0,0,1,50,0
0,0,0,0,0,1,1,25,0
0,0,0,0,0,1,1,25,0
0,0,0,0,0,1,1,50,0
0,0,0,0,0,1,1,20,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,175,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,3,0
0,0,0,0,0,100,1,28,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,2,0
0,0,0,0,0,1,1,3,0
0,0,0,0,0,100,1,28,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,100,1,35,0
0,0,0,0,0,100,1,35,0
0,0,0,0,0,100,1,35,0
0,0,0,0,0,100,1,35,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,14,0
0,0,0,0,0,100,1,140,0
0,0,0,0,0,1,1,21,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,1,1,104,0
0,0,0,0,0,1,1,104,0
0,0,0,0,0,1,1,56,0
0,0,0,0,0,100,1,70,0
0,0,0,0,0,1,1,28,0
0,0,0,0,0,1,1,21,0
0,0,0,0,0,1,1,84,0
0,0,0,0,0,100,1,112,0
0,0,0,0,0,1,1,56,0
0,0,0,0,0,1,1,42,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,42,0
0,0,0,0,0,100,1,13,0
0,0,0,0,0,100,1,14,0
0,0,0,0,0,1,1,210,0
0,0,0,0,0,1,1,112,0
0,0,0,0,0,1,1,112,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
0,0,0,0,0,1,1,30,0
