Planlieferzeit Vertrag,Gesamtbestand,Gesamtwert,Preiseinheit,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm
0,0,0,1000,1,3
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,25
0,0,0,1000,1,20
0,0,0,1000,1,7
0,0,0,1000,1,7
0,0,0,1000,1,7
0,0,0,1000,1,26
0,0,0,1000,1,5
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,13
0,0,0,1000,1,14
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,5
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,999
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,21
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,999
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,21
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,5
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,5
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,999
0,0,0,1000,1,15
0,0,0,1000,1,999
0,0,0,1000,1,14
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,15
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,999
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,3
0,0,0,1000,1,5
0,0,0,1000,1,21
0,0,0,1000,1,20
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,20
0,0,0,1000,1,20
0,0,0,1000,1,20
0,0,0,1000,1,20
0,0,0,1000,1,15
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,12
0,0,0,1000,1,14
0,0,0,1000,1,20
0,0,0,1000,1,21
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,13
0,0,0,1000,1,12
0,0,0,1000,1,13
0,0,0,1000,1,13
0,0,0,1000,1,12
0,0,0,1000,1,12
0,0,0,1000,1,12
0,0,0,1000,1,12
0,0,0,1000,1,12
0,0,0,1000,1,13
0,0,0,1000,1,21
0,0,0,1000,1,13
0,0,0,1000,1,21
0,0,0,1000,2,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,2,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,13
0,0,0,1000,1,14
0,0,0,1000,1,4
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,2,14
0,0,0,1000,1,14
0,0,0,1000,1,12
0,0,0,1000,1,12
0,0,0,1000,2,3
0,0,0,1000,2,3
0,0,0,1000,2,3
0,0,0,1000,2,3
0,0,0,1000,2,14
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,14
0,0,0,1000,1,2
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,3
0,0,0,1000,1,14
0,0,0,1000,1,3
0,0,0,1000,1,21
0,0,0,1000,1,3
0,0,0,1000,1,999
0,0,0,1000,1,14
0,0,0,1000,1,999
0,0,0,1000,1,365
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,999
0,0,0,1000,1,21
0,0,0,1000,1,999
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,999
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,12
0,0,0,1000,1,14
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,19
0,0,0,1000,1,3
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,21
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
0,0,0,1000,1,14
