Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,anomaly
23884900UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300024448.0,0.0,1,56,10401000,ST,0
00360029,701806,5500000546.0,10,4,4,60,F,,708,708.0,Z011,V5,7790,10687,100,E98,2100,,5300174058.0,0.0,2,4,140100000,ST,0
04002905,706808,,0,0,0,0,F,,272,272.0,Z012,Z7,390,194091,1,,3000,,5300106846.0,0.0,1,14,130600000,ST,1
60022412,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300376084.0,0.0,1,42,10402000,ST,0
01568000UB,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,1,E19,2100,,5300179214.0,0.0,1,64,10401000,ST,0
00160030,701728,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300015570.0,0.0,1,21,130404000,ST,0
23011100,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z7,260,32737,100,,3000,3000.0,5300197181.0,0.0,1,36,010401000,ST,0
00200035,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,100,206,100,E11,2000,,,,1,28,080600000,ST,0
60067946,701314,,0,0,0,0,F,,233,233.0,Z011,Y3,0,0,100,E13,2000,,5300433824.0,0.0,1,56,060100000,ST,0
60075137,701806,,0,0,0,0,F,,208,208.0,Z011,V4,20,537,100,E98,3000,,5300458561.0,0.0,2,14,140000000,ST,0
00290448,702465,,0,0,0,0,F,,203,203.0,Z001,Z1,0,0,1,,2000,,5300135053.0,0.0,1,280,131100000,ST,1
60008163,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z1,0,0,1,,3000,3000.0,5300355835.0,0.0,1,42,10402000,ST,0
96143377UB,702225,,0,0,0,0,F,,221,221.0,Z001,Z7,0,0,100,,2000,,5300113039.0,0.0,1,28,10102000,ST,0
95192430UB,2000,,0,0,0,0,F,40.0,205,205.0,Z012,Z1,0,0,100,,3000,3000.0,5300313179.0,0.0,1,999,010401000,ST,0
00341371,706186,,0,0,0,0,F,,215,215.0,Z001,Z7,0,0,100,,2000,,5300092875.0,0.0,1,28,080600000,ST,0
04002497,702779,,0,0,0,0,F,,276,276.0,Z012,Y3,30,2475,1,E11,3000,,5300106594.0,0.0,1,14,080100000,ST,0
00300188,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y2,0,0,1,E11,3000,3000.0,5300207369.0,0.0,1,28,130000000,ST,0
00310909,701202,,0,0,0,0,F,,215,215.0,Z001,Y4,560,2254,100,E13,2000,,5300004608.0,0.0,1,14,140100000,ST,0
00390689,701979,,0,0,0,0,F,,206,206.0,Z001,Z1,0,0,1,,3000,,5300119162.0,0.0,1,180,520300000,ST,0
35190350,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z4,0,0,1,,3000,3000.0,5300199911.0,0.0,1,42,010403000,ST,0
23286900,2100,,0,0,0,0,F,41.0,203,203.0,Z003,Z4,10,1614,1,,2000,3000.0,5300197608.0,0.0,2,3,010401000,ST,0
24762402,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300253579.0,0.0,1,999,10102000,ST,0
80512403,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Z1,0,0,100,,3000,3000.0,5300422242.0,0.0,1,999,520100000,ST,0
00260156,700985,,0,0,0,0,F,,203,203.0,Z005,Y2,0,0,1,E13,2000,,5300006600.0,0.0,1,49,090300000,ST,0
23792605UB,711636,,0,0,0,0,F,,711,711.0,Z002,Z7,0,0,1,,2000,,5300362530.0,0.0,1,14,10102000,ST,0
