,kmean_Unnamed: 0,kmean_Fulfillment time,kmean_Fixed contract 1,kmean_Fixed contract 2,kmean_Total quantity,kmean_Total value,kmean_Price unit,kmean_Plant processing time,kmean_Material master time,dbscan_Unnamed: 0,dbscan_Planlieferzeit Vertrag,dbscan_Vertrag Fix1,dbscan_Vertrag_Fix2,dbscan_Gesamtbestand,dbscan_Gesamtwert,dbscan_Preiseinheit,dbscan_WE-Bearbeitungszeit,dbscan_Planlieferzeit Mat-Stamm,dbscan_anomaly,xgboost_Unnamed: 0,xgboost_Material number,xgboost_Supplier,xgboost_Contract,xgboost_Contract Position,xgboost_Fulfillment time,xgboost_Fixed contract 1,xgboost_Fixed contract 2,xgboost_Procurement type,xgboost_Special procurement type,xgboost_Dispatcher,xgboost_Buyer,xgboost_Purchasing group,xgboost_Purchasing lot size,xgboost_Total quantity,xgboost_Total value,xgboost_Price unit,xgboost_Calendar,xgboost_Plant,xgboost_Plant information record,xgboost_Information record number,xgboost_Information record type,xgboost_Plant processing time,xgboost_Material master time,xgboost_Product group,xgboost_Base unit,lof_Unnamed: 0,lof_Material number,lof_Supplier,lof_Contract,lof_Contract Position,lof_Fulfillment time,lof_Fixed contract 1,lof_Fixed contract 2,lof_Procurement type,lof_Special procurement type,lof_Dispatcher,lof_Buyer,lof_Purchasing group,lof_Purchasing lot size,lof_Total quantity,lof_Total value,lof_Price unit,lof_Calendar,lof_Plant,lof_Plant information record,lof_Information record number,lof_Information record type,lof_Plant processing time,lof_Material master time,lof_Product group,lof_Base unit,lof_anomaly,rfc_Unnamed: 0,rfc_Materialnummer,rfc_Lieferant OB,rfc_Vertrag OB,rfc_Vertragsposition OB,rfc_Planlieferzeit Vertrag,rfc_Vertrag Fix1,rfc_Vertrag_Fix2,rfc_Beschaffungsart,rfc_Sonderbeschaffungsart,rfc_Disponent,rfc_Einkäufer,rfc_DispoGruppe,rfc_Dispolosgröße,rfc_Gesamtbestand,rfc_Gesamtwert,rfc_Preiseinheit,rfc_Kalender,rfc_Werk OB,rfc_Werk Infosatz,rfc_Infosatznummer,rfc_Infosatztyp,rfc_WE_Bearbeitungszeit,rfc_Planlieferzeit Mat-Stamm,rfc_Warengruppe,rfc_Basiseinheit,rfc_Anomaly_Score,rfc_Predicted_Label,iforest_Unnamed: 0,iforest_Material number,iforest_Supplier,iforest_Contract,iforest_Contract Position,iforest_Fulfillment time,iforest_Fixed contract 1,iforest_Fixed contract 2,iforest_Procurement type,iforest_Special procurement type,iforest_Dispatcher,iforest_Buyer,iforest_Purchasing group,iforest_Purchasing lot size,iforest_Total quantity,iforest_Total value,iforest_Price unit,iforest_Calendar,iforest_Plant,iforest_Plant information record,iforest_Information record number,iforest_Information record type,iforest_Plant processing time,iforest_Material master time,iforest_Product group,iforest_Base unit,iforest_if_anomaly
0,68.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,0,0,0,0,0,0,1,1,56,0,68.0,00400053,702533.0,,0.0,,,,F,,206.0,206.0,Z002,Z7,,,1000.0,,2000.0,,5300016012.0,0.0,1.0,14.0,10201000.0,MM,3422.0,28183802,2000.0,,0.0,,,,F,40.0,223.0,223.0,Z012,Z5,,,100.0,,3000.0,2700.0,5300432938.0,0.0,1.0,28.0,10102000,ST,0.0,0,23884900UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300024448.0,0.0,1,56,10401000,ST,0.1754642857142856,1,5998.0,00180048,701256.0,,0.0,,,,F,,215.0,215.0,Z002,Y3,,,1000.0,E13,2000.0,,5300017606.0,0.0,1.0,42.0,100300000.0,MM,0.0
1,76.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,20.0,1,4,4,60,7790,10687,100,2,4,1,76.0,00401285,702533.0,,0.0,,,,F,,206.0,206.0,Z001,Z1,,,1000.0,,2000.0,,5300171647.0,0.0,1.0,20.0,10302000.0,MM,12231.0,00385566,708008.0,,0.0,,,,F,,703.0,703.0,Z008,Y2,,,100.0,E11,2100.0,,5300127773.0,0.0,1.0,21.0,120000000,ST,0.0,1,00360029,701806,5500000546.0,10,4,4,60,F,,708,708.0,Z011,V5,7790,10687,100,E98,2100,,5300174058.0,0.0,2,4,140100000,ST,0.43,1,9772.0,28283800UB,704926.0,5500001869.0,20.0,42.0,42.0,42.0,F,30.0,723.0,723.0,Z008,Z3,,,1.0,,2100.0,,5300074774.0,3.0,1.0,42.0,10403000.0,ST,0.0
2,230.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,2,0,0,0,390,194091,1,1,14,1,188.0,00110614,703351.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2100.0,,5300004001.0,0.0,15.0,14.0,70600000.0,ST,7014.0,23291526,2000.0,,0.0,,,,F,40.0,224.0,224.0,Z012,Z4,,,1.0,,3000.0,3000.0,5300232500.0,0.0,1.0,25.0,10303000,ST,0.0,2,04002905,706808,,0,0,0,0,F,,272,272.0,Z012,Z7,390,194091,1,,3000,,5300106846.0,0.0,1,14,130600000,ST,0.685,0,1953.0,00180074,701256.0,,0.0,,,,F,,215.0,215.0,Z002,Y3,1280000.0,3361.0,1000.0,E13,2000.0,,5300000640.0,0.0,1.0,42.0,100300000.0,MM,0.0
3,489.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0,3,0,0,0,0,0,1,1,42,0,230.0,00400090,702533.0,,0.0,,,,F,,206.0,206.0,Z001,Z7,,,1000.0,,2000.0,,5300016370.0,0.0,1.0,14.0,10201000.0,MM,9877.0,00290129,700538.0,,0.0,,,,F,,203.0,203.0,Z001,Y2,,,1.0,E11,2000.0,,5300014808.0,0.0,1.0,28.0,140100000,ST,0.0,3,60022412,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300376084.0,0.0,1,42,10402000,ST,0.4431415382862749,1,6359.0,28286600UB,704926.0,5500001870.0,20.0,42.0,42.0,42.0,F,30.0,723.0,723.0,Z008,Z3,,,1.0,,2100.0,,5300083667.0,3.0,1.0,42.0,10403000.0,ST,0.0
4,514.0,0.0,0.0,0.0,3190.0,22968141.0,1.0,1.0,2.0,4,0,0,0,0,0,1,1,64,0,261.0,270237,703564.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2100.0,,5300033991.0,0.0,40.0,112.0,60200000.0,ST,6415.0,00401693,708082.0,,0.0,,,,F,,203.0,203.0,Z001,Y3,,,100.0,E11,2000.0,,5300133046.0,0.0,40.0,90.0,060100000,ST,0.0,4,01568000UB,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,1,E19,2100,,5300179214.0,0.0,1,64,10401000,ST,0.5940385341782402,0,6129.0,35184200UB,704926.0,4600012419.0,20.0,42.0,,,F,30.0,723.0,723.0,Z008,Z3,,,1.0,,2000.0,,5300108981.0,3.0,1.0,42.0,10402000.0,ST,0.0
5,590.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,5,0,0,0,0,0,1,1,21,0,285.0,00130062,703568.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2100.0,,5300010933.0,0.0,15.0,84.0,70200000.0,ST,2008.0,34181604UB,1000.0,,0.0,,,,F,,991.0,991.0,Z008,Z5,1640.0,14432.0,100.0,,2100.0,,5300092019.0,0.0,1.0,30.0,010102000,ST,0.0,5,00160030,701728,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300015570.0,0.0,1,21,130404000,ST,0.05,1,3622.0,24423200UB,700119.0,,0.0,,,,F,30.0,228.0,228.0,Z008,Y9,,,1.0,E15,2000.0,,5300120280.0,3.0,1.0,42.0,10403000.0,ST,0.0
6,615.0,0.0,0.0,0.0,9930.0,616.0,100.0,1.0,12.0,6,0,0,0,260,32737,100,1,36,1,489.0,00400982,2000.0,,0.0,,,,F,72.0,206.0,206.0,Z012,Z7,,,1000.0,,3000.0,3000.0,5300217144.0,0.0,1.0,35.0,10301000.0,MM,3752.0,30020260,1900.0,,0.0,,,,F,,219.0,219.0,Z001,Z1,,,100.0,,2100.0,,5300084505.0,0.0,1.0,5.0,010102000,ST,0.0,6,23011100,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z7,260,32737,100,,3000,3000.0,5300197181.0,0.0,1,36,010401000,ST,0.2758333333333333,1,3317.0,23485101,701256.0,,0.0,,,,F,,215.0,215.0,Z002,Y3,60.0,6297.0,1.0,E13,3000.0,,5300032766.0,0.0,1.0,42.0,100100000.0,ST,0.0
7,650.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,7,0,0,0,100,206,100,1,28,1,562.0,C1027505,700095.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2000.0,,5300048234.0,0.0,20.0,56.0,30202000.0,ST,9119.0,60121466,708008.0,,0.0,,,,F,,703.0,703.0,Z001,Y6,30.0,708.0,100.0,E11,2000.0,,5300543123.0,0.0,1.0,14.0,00,ST,0.0,7,00200035,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,100,206,100,E11,2000,,,,1,28,080600000,ST,0.298,1,4151.0,34685900,715408.0,4600012134.0,50.0,56.0,,,F,30.0,223.0,223.0,Z004,TB,30.0,1182702.0,1.0,,2000.0,,5300436123.0,3.0,1.0,56.0,10403000.0,ST,0.0
8,725.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,8,0,0,0,0,0,100,1,56,0,590.0,00400428,700464.0,,0.0,,,,F,,206.0,206.0,Z001,Z1,,,1000.0,,2100.0,,5300018272.0,0.0,1.0,14.0,10301000.0,MM,16950.0,34937302UB,2000.0,,0.0,,,,F,40.0,202.0,202.0,Z012,Z7,,,1.0,,3000.0,3000.0,5300286090.0,0.0,1.0,28.0,10102000,ST,0.0,8,60067946,701314,,0,0,0,0,F,,233,233.0,Z011,Y3,0,0,100,E13,2000,,5300433824.0,0.0,1,56,060100000,ST,0.924,0,5078.0,00400977,702533.0,,0.0,,,,F,,206.0,206.0,Z002,Z7,,,1000.0,,2000.0,,5300019945.0,0.0,1.0,14.0,10301000.0,MM,0.0
9,745.0,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0,9,0,0,0,20,537,100,2,14,1,651.0,00401703,703555.0,,0.0,,,,F,,203.0,203.0,Z001,Z1,,,1.0,,2100.0,,5300020315.0,0.0,40.0,98.0,131000000.0,ST,2279.0,35140100UB,715408.0,,0.0,,,,F,30.0,223.0,223.0,Z004,TB,,,1.0,,2000.0,,5300435570.0,3.0,1.0,56.0,10403000,ST,0.0,9,60075137,701806,,0,0,0,0,F,,208,208.0,Z011,V4,20,537,100,E98,3000,,5300458561.0,0.0,2,14,140000000,ST,0.4656865079365079,1,6191.0,00360060,701806.0,5500007821.0,10.0,4.0,4.0,60.0,F,,708.0,708.0,Z011,V4,1680.0,4815.0,100.0,E98,3000.0,,5300174146.0,0.0,2.0,13.0,140100000.0,ST,0.0
