,Fulfillment time,Fixed contract 1,Fixed contract 2,Total quantity,Total value,Price unit,Plant processing time,Material master time
68,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
76,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,20.0
230,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
489,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
514,0.0,0.0,0.0,3190.0,22968141.0,1.0,1.0,2.0
590,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
615,0.0,0.0,0.0,9930.0,616.0,100.0,1.0,12.0
650,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
725,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
745,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
878,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,3.0
1064,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
1114,0.0,0.0,0.0,25000.0,3288.0,1000.0,1.0,14.0
1137,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
1145,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,999.0
1193,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
1227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0
1248,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,12.0
1262,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1342,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0
1346,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
1396,0.0,0.0,0.0,30040.0,21127222.0,1.0,2.0,3.0
1428,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
1472,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0
1550,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1559,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1618,4.0,4.0,60.0,9600.0,219.0,100.0,1.0,4.0
1624,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
1647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
1660,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
1672,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
1725,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
1732,0.0,0.0,0.0,180000.0,37481.0,100.0,1.0,30.0
1771,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,999.0
1899,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
1929,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
1938,0.0,0.0,0.0,44620.0,794.0,100.0,2.0,14.0
1953,0.0,0.0,0.0,1280000.0,3361.0,1000.0,1.0,42.0
1988,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0
2012,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
2062,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
2079,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
2082,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
2098,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2170,0.0,0.0,0.0,45000.0,1450.0,1000.0,1.0,21.0
2289,0.0,0.0,0.0,9860.0,663.0,1000.0,1.0,28.0
2332,4.0,4.0,60.0,36210.0,469.0,100.0,1.0,12.0
2346,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2358,0.0,0.0,0.0,485987.0,109201.0,1000.0,1.0,28.0
2428,0.0,0.0,0.0,295000.0,33121.0,1000.0,1.0,63.0
2452,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
2454,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,999.0
2464,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,84.0
2499,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
2528,0.0,0.0,0.0,210.0,9131075.0,1.0,1.0,56.0
2554,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0
2595,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
2620,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
2674,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
2699,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2701,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
2753,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
2755,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,12.0
2757,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
2883,0.0,0.0,0.0,214000.0,4579.0,1000.0,1.0,21.0
2948,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3026,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3064,0.0,0.0,0.0,40000.0,3157.0,1000.0,1.0,14.0
3098,4.0,4.0,60.0,120740.0,21334.0,100.0,1.0,4.0
3329,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
3354,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3357,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
3382,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,45.0
3433,0.0,0.0,0.0,0.0,0.0,1.0,0.0,999.0
3444,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3474,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,3.0
3584,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3667,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3734,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
3763,0.0,0.0,0.0,80000.0,3028.0,1000.0,1.0,21.0
3781,0.0,0.0,0.0,5050.0,127.0,100.0,1.0,12.0
3798,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3818,0.0,0.0,0.0,28720.0,2689.0,100.0,1.0,7.0
3860,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
3866,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
3968,0.0,0.0,0.0,60000.0,10629.0,1000.0,1.0,14.0
4044,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
4208,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4229,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4252,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4354,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
4437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
4512,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
4597,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
4730,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
4802,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5003,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,13.0
5009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,999.0
5078,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5147,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
5153,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5185,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,21.0
5285,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,35.0
5298,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5380,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
5387,0.0,0.0,0.0,10000.0,113.0,1000.0,1.0,21.0
5497,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5510,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
5591,0.0,0.0,0.0,56460.0,2855.0,100.0,1.0,12.0
5607,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5680,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5688,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
5731,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,30.0
5773,4.0,4.0,60.0,93870.0,18352.0,100.0,1.0,4.0
5813,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5961,365.0,0.0,0.0,5170.0,12440054.0,1.0,1.0,365.0
5965,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
5998,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,42.0
6036,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6065,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
6072,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,5.0
6113,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,14.0
6196,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
6254,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,84.0
6398,0.0,0.0,0.0,0.0,0.0,1000.0,1.0,28.0
