,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit
68,00400053,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300016012.0,0.0,1.0,14,010201000,MM
76,00401285,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300171647.0,0.0,1.0,20,010302000,MM
188,00110614,703351,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300004001.0,0.0,15.0,14,070600000,ST
230,00400090,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300016370.0,0.0,1.0,14,010201000,MM
261,270237,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300033991.0,0.0,40.0,112,060200000,ST
285,00130062,703568,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300010933.0,0.0,15.0,84,070200000,ST
489,00400982,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217144.0,0.0,1.0,35,010301000,MM
562,C1027505,700095,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300048234.0,0.0,20.0,56,030202000,ST
590,00400428,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018272.0,0.0,1.0,14,010301000,MM
651,00401703,703555,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300020315.0,0.0,40.0,98,131000000,ST
725,00400123,700464,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300016724.0,0.0,1.0,14,010201000,MM
726,9001131,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300053346.0,0.0,40.0,112,130700000,ST
730,00402009,703535,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300020907.0,0.0,40.0,49,131000000,ST
745,00400325,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300017566.0,0.0,1.0,14,010303000,MM
827,23464602,703558,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300028944.0,0.0,40.0,84,060100000,ST
1114,00400607,700464,,0,,,,F,,206,206.0,Z001,Z7,25000.0,3288.0,1000,,2000,,5300019804.0,0.0,1.0,14,010302000,MM
1137,04004628,701112,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300116516.0,0.0,1.0,42,110100000,ST
1193,00400124,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216486.0,0.0,1.0,35,010201000,MM
1307,00400894,702533,,0,,,,F,,206,206.0,Z001,Z7,25000.0,12092.0,1000,,2000,,5300019565.0,0.0,1.0,14,010304000,MM
1342,04005254,706943,,0,,,,F,,208,208.0,Z001,Z7,,,1000,,2000,,,,1.0,45,130700000,ST
1346,00401920,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2000,,5300134034.0,0.0,1.0,30,010302000,MM
1428,00400628,700464,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019953.0,0.0,1.0,21,010301000,MM
1513,00130096,703568,,0,,,,F,,203,203.0,Z002,Z2,,,1,,2000,,5300011111.0,0.0,15.0,70,070200000,ST
1550,04002151,706822,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300106394.0,0.0,1.0,14,080900000,ST
1559,00400400,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018057.0,0.0,1.0,14,010301000,MM
1624,00400958,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217126.0,0.0,1.0,21,010303000,MM
1660,04005158,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300119995.0,0.0,1.0,14,140100000,ST
1771,00402239,2000,,0,,,,F,40.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300499936.0,0.0,1.0,999,010300000,MM
1915,00130107,703568,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300011166.0,0.0,15.0,56,070200000,ST
