,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
3422,28183802,2000,,0,,,,F,40.0,223,223.0,Z012,Z5,,,100,,3000,2700.0,5300432938.0,0.0,1.0,28,10102000,ST,0
12231,00385566,708008,,0,,,,F,,703,703.0,Z008,Y2,,,100,E11,2100,,5300127773.0,0.0,1.0,21,120000000,ST,0
7014,23291526,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,1,,3000,3000.0,5300232500.0,0.0,1.0,25,10303000,ST,0
9877,00290129,700538,,0,,,,F,,203,203.0,Z001,Y2,,,1,E11,2000,,5300014808.0,0.0,1.0,28,140100000,ST,0
6415,00401693,708082,,0,,,,F,,203,203.0,Z001,Y3,,,100,E11,2000,,5300133046.0,0.0,40.0,90,060100000,ST,0
2008,34181604UB,1000,,0,,,,F,,991,991.0,Z008,Z5,1640.0,14432.0,100,,2100,,5300092019.0,0.0,1.0,30,010102000,ST,0
3752,30020260,1900,,0,,,,F,,219,219.0,Z001,Z1,,,100,,2100,,5300084505.0,0.0,1.0,5,010102000,ST,0
9119,60121466,708008,,0,,,,F,,703,703.0,Z001,Y6,30.0,708.0,100,E11,2000,,5300543123.0,0.0,1.0,14,00,ST,0
16950,34937302UB,2000,,0,,,,F,40.0,202,202.0,Z012,Z7,,,1,,3000,3000.0,5300286090.0,0.0,1.0,28,10102000,ST,0
2279,35140100UB,715408,,0,,,,F,30.0,223,223.0,Z004,TB,,,1,,2000,,5300435570.0,3.0,1.0,56,10403000,ST,0
13958,34663506,711636,,0,,,,F,,211,211.0,Z001,Z1,,,100,,2100,,5300187791.0,0.0,1.0,56,010502000,ST,0
11813,00130608,2000,,0,,,,F,40.0,203,203.0,Z001,Y5,,,1,E11,2100,2100.0,5300203071.0,0.0,1.0,3,070200000,ST,0
5859,00310810,700095,,0,,,,F,,203,203.0,Z001,Y5,7250.0,439936.0,1,E11,3000,,5300004100.0,0.0,1.0,70,030202000,ST,1
7453,21265001UB,2000,,0,,,,F,40.0,211,211.0,Z012,Y3,,,1,E14,3000,3000.0,5300226804.0,0.0,1.0,35,10102000,ST,0
1640,24924010UB,704276,,0,,,,F,,228,228.0,Z001,Y2,,,1,E14,2100,,5300326502.0,0.0,1.0,42,10401000,ST,0
12077,33422601,700020,,0,,,,F,,208,208.0,Z011,X4,590.0,12759.0,100,E20,3000,,5300062961.0,0.0,1.0,84,140400000,ST,0
13175,30048700,704955,,0,,,,F,,228,228.0,Z001,Z7,,,1,,2000,,5300121585.0,0.0,1.0,56,010401000,ST,0
9758,21339500UB,2000,,0,,,,F,40.0,228,228.0,Z012,Z3,,,1,,3000,3000.0,5300228271.0,0.0,1.0,999,10401000,ST,0
3651,00370710,700020,,0,,,,F,,708,708.0,Z011,X4,,,100,E20,3000,,5300084461.0,0.0,1.0,12,140200000,ST,0
6956,60116358,702236,,0,,,,F,,708,708.0,Z001,Z1,360.0,38992.0,100,,2100,,5300537927.0,0.0,1.0,999,070400000,ST,0
2988,60096732,700230,,0,,,,F,30.0,219,219.0,Z012,Z1,,,1,,3000,,5300502952.0,0.0,1.0,70,100202000,ST,0
18035,00120594,706985,,0,,,,F,,208,208.0,Z012,Y9,,,1,E15,3000,,5300359387.0,0.0,1.0,42,070400000,ST,0
2571,60106921,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300529980.0,0.0,1.0,10,00,ST,0
8653,00100640,700222,,0,,,,F,,208,208.0,Z011,Y3,460.0,4507.0,100,E11,2100,,5300095652.0,0.0,1.0,21,140100000,ST,0
1599,95130633UB,1000,,0,,,,F,,205,205.0,Z008,Z4,,,1,,2100,,5300089774.0,0.0,1.0,3,10403000,ST,0
1397,23321400UB,704926,,0,,,,F,,223,223.0,Z001,Z1,,,1,,2100,,5300123456.0,0.0,1.0,42,10401000,ST,0
6311,23642601UB,2100,,0,,,,F,41.0,211,211.0,Z002,Y3,80.0,7457.0,1,E14,2000,3000.0,5300405104.0,0.0,1.0,3,010102000,ST,0
9167,60053595,709890,,0,,,,F,30.0,202,202.0,Z011,Y2,44570.0,3110986.0,1,E13,2100,,5300419200.0,3.0,1.0,112,050400000,ST,0
5005,80270168,2000,,0,,,,F,40.0,203,203.0,Z012,Y9,,,100,E11,3000,3000.0,5300294684.0,0.0,1.0,999,520100000,ST,0
9684,24919500UB,704926,,0,,,,F,,223,223.0,Z001,Z5,,,1,,2000,,5300195808.0,0.0,1.0,50,10401000,ST,0
3230,95193011UB,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300313269.0,0.0,1.0,999,10102000,ST,0
15319,04002720,700961,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2000,,5300106740.0,0.0,1.0,14,071000000,ST,1
2480,24415110,700000,,0,,,,F,,723,723.0,Z001,X3,,,100,E20,2000,,5300135840.0,0.0,1.0,28,010102000,ST,0
10631,60030365,1000,,0,,,,F,,991,991.0,Z008,Z5,,,1,,2000,,5300383597.0,0.0,1.0,3,10402000,ST,0
10418,00341387,706186,,0,,,,F,,215,215.0,Z012,Y5,80.0,35.0,100,E11,3000,,5300092889.0,0.0,1.0,28,080600000,ST,1
10341,60076375,700000,,0,,,,F,,723,723.0,Z001,V3,,,1,E19,2100,,5300467065.0,0.0,1.0,42,10401000,ST,0
8157,00311233,701424,,0,,,,F,,703,703.0,Z001,Z7,,,100,,2000,,5300097214.0,0.0,1.0,14,130000000,ST,1
9477,00370872,700020,,0,,,,F,,708,708.0,Z011,X4,,,100,E20,2000,,5300092214.0,0.0,1.0,12,140100000,ST,0
5252,24041505,702225,,0,,,,F,,221,221.0,Z001,Z7,,,100,,2100,,5300156379.0,0.0,1.0,28,010502000,ST,0
15299,04004619,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E11,2000,,5300117417.0,0.0,1.0,5,090300000,ST,0
8131,00360464,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,1560.0,5149.0,100,,3000,3000.0,5300212416.0,0.0,1.0,140,140100000,ST,0
7499,60058374,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,3000.0,5300424224.0,0.0,1.0,84,80100000,ST,0
9001,23109301,2000,,0,,,,F,40.0,223,223.0,Z012,Z2,,,1,,3000,3000.0,5300230991.0,0.0,1.0,999,10303000,ST,0
878,30020645,700151,,0,,,,F,40.0,233,233.0,Z011,Y4,,,1000,E15,2100,,5300191359.0,0.0,1.0,3,060100000,ST,0
2202,24425501,2000,,0,,,,F,40.0,252,252.0,Z012,EX,,,1,,3000,3000.0,5300246794.0,0.0,1.0,999,550100000,ST,0
351,00393421,704232,4600004693.0,50,28.0,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,,5300063284.0,0.0,1.0,3,520300000,ST,1
5547,95193303,2000,,0,,,,F,40.0,998,998.0,Z012,Z1,,,100,,3000,3000.0,5300313452.0,0.0,1.0,999,100100000,ST,0
