,Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,Anomaly_Score,Predicted_Label
0,23884900UB,700000,,0,0,0,0,F,,723,723.0,Z001,X3,0,0,1,E20,2000,,5300024448.0,0.0,1,56,10401000,ST,0.1754642857142856,1
1,00360029,701806,5500000546.0,10,4,4,60,F,,708,708.0,Z011,V5,7790,10687,100,E98,2100,,5300174058.0,0.0,2,4,140100000,ST,0.43,1
2,04002905,706808,,0,0,0,0,F,,272,272.0,Z012,Z7,390,194091,1,,3000,,5300106846.0,0.0,1,14,130600000,ST,0.685,0
3,60022412,1000,,0,0,0,0,F,,991,991.0,Z008,TB,0,0,1,,2100,,5300376084.0,0.0,1,42,10402000,ST,0.4431415382862749,1
4,01568000UB,700000,,0,0,0,0,F,,223,223.0,Z001,V3,0,0,1,E19,2100,,5300179214.0,0.0,1,64,10401000,ST,0.5940385341782402,0
5,00160030,701728,,0,0,0,0,F,,707,707.0,Z001,Z2,0,0,1,,2100,,5300015570.0,0.0,1,21,130404000,ST,0.05,1
6,23011100,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z7,260,32737,100,,3000,3000.0,5300197181.0,0.0,1,36,010401000,ST,0.2758333333333333,1
7,00200035,706261,,0,0,0,0,F,,264,264.0,Z010,Y4,100,206,100,E11,2000,,,,1,28,080600000,ST,0.298,1
8,60067946,701314,,0,0,0,0,F,,233,233.0,Z011,Y3,0,0,100,E13,2000,,5300433824.0,0.0,1,56,060100000,ST,0.924,0
9,60075137,701806,,0,0,0,0,F,,208,208.0,Z011,V4,20,537,100,E98,3000,,5300458561.0,0.0,2,14,140000000,ST,0.4656865079365079,1
