Unnamed: 0,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,if_anomaly
1,00360029,701806,5500000546.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,7790.0,10687.0,100,E98,2100,,5300174058.0,0.0,2.0,4,140100000,ST,
8,60067946,701314,,0,,,,F,,233,233.0,Z011,Y3,,,100,E13,2000,,5300433824.0,0.0,1.0,56,60100000,ST,
20,23286900,2100,,0,,,,F,41.0,203,203.0,Z003,Z4,10.0,1614.0,1,,2000,3000.0,5300197608.0,0.0,2.0,3,10401000,ST,
22,80512403,2000,,0,,,,F,40.0,203,203.0,Z012,Z1,,,100,,3000,3000.0,5300422242.0,0.0,1.0,999,520100000,ST,
25,04001818,702779,,0,,,,F,,206,206.0,Z001,Z1,,,100,,2100,,5300106186.0,0.0,1.0,14,80600000,ST,
28,00310044,704970,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300075387.0,0.0,1.0,30,50100000,ST,
29,95194023,712009,5500003451.0,20,14.0,14.0,112.0,F,,715,715.0,Z001,Y9,36940.0,391579.0,100,E13,2000,,5300194607.0,0.0,1.0,14,90400000,ST,
31,00380379,708008,,0,,,,F,,703,703.0,Z008,Y2,,,100,E11,2100,,5300126752.0,0.0,1.0,14,120000000,ST,
45,04001496,1900,,0,,,,F,,276,276.0,Z012,Y4,2170.0,631762.0,1,E11,3000,,5300078144.0,0.0,1.0,61,70600000,ST,
54,00130766,700049,,0,,,,F,,203,203.0,Z011,Y5,,,1,E11,2000,,5300074933.0,0.0,1.0,84,70200000,ST,
56,23035711UB,711636,,0,,,,F,,711,711.0,Z002,Z2,,,100,,2000,,5300362494.0,0.0,1.0,14,10102000,ST,
68,00400053,702533,,0,,,,F,,206,206.0,Z002,Z7,,,1000,,2000,,5300016012.0,0.0,1.0,14,10201000,MM,
69,00380912,700098,,0,,,,F,,203,203.0,Z012,Z2,80.0,36391.0,1,,3000,,5300008006.0,0.0,1.0,84,90200000,ST,
73,00170171,2000,,0,,,,F,40.0,203,203.0,Z012,Y5,990.0,21436.0,1,E11,3000,3000.0,5300361197.0,0.0,1.0,180,581100000,ST,
76,00401285,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2000,,5300171647.0,0.0,1.0,20,10302000,MM,
84,33611001UB,700585,,0,,,,F,,203,203.0,Z010,Y5,,,1,E14,2000,,5300057849.0,0.0,1.0,84,30201000,ST,
88,04002569,706837,,0,,,,F,,206,206.0,Z001,Z7,,,100,,2000,,5300106640.0,0.0,1.0,14,70600000,ST,
91,00380712,703001,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300145450.0,0.0,1.0,140,130100000,ST,
92,60018843,701863,4600012862.0,10,84.0,,,F,,215,215.0,Z001,Z3,2390.0,602953.0,1,,2100,,5300380189.0,0.0,1.0,84,80400000,ST,
93,00130612,703334,,0,,,,F,,203,203.0,Z010,Y5,,,1,E14,2100,,5300014594.0,0.0,1.0,84,70200000,ST,
94,04004091,1900,,0,,,,F,,206,206.0,Z001,Y4,,,1,E11,2000,,5300087154.0,0.0,2.0,5,70500000,ST,
97,60046987,2000,,0,,,,F,40.0,216,216.0,Z012,Z7,2530.0,110233.0,100,,3000,3000.0,5300410775.0,0.0,1.0,42,100202000,ST,
111,04006320,700699,,0,,,,F,,203,203.0,Z001,Z7,,,1,,2100,,5300140099.0,0.0,1.0,42,0,ST,
115,31013003,1000,,0,,,,F,,991,991.0,Z008,TB,,,100,,3000,,5300039718.0,0.0,1.0,3,10502000,ST,
128,00422785,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1,,2000,,5300030594.0,0.0,1.0,21,10103000,ST,
130,04006430,700418,,0,,,,F,,203,203.0,Z001,Y4,,,100,E13,2100,,5300140081.0,0.0,1.0,56,50500000,ST,
139,00260113,700537,,0,,,,F,,203,203.0,Z010,Y5,,,100,E13,2100,,,,1.0,21,90300000,ST,
153,24582027,701528,5500007590.0,10,14.0,14.0,56.0,F,,733,733.0,Z011,Y9,690.0,653417.0,1,E14,2000,,5300098415.0,0.0,1.0,84,60200000,ST,
166,80651204,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300115699.0,0.0,1.0,14,520100000,ST,
167,50252170,706822,,0,,,,F,,206,206.0,Z001,Z7,,,100,,2000,,5300103641.0,0.0,1.0,14,80600000,ST,
169,00131205,3000,,0,,,,F,42.0,212,212.0,Z001,Y9,70.0,169792.0,1,E11,2100,2000.0,5300528979.0,0.0,1.0,3,70200000,ST,
173,60037314,2100,,0,,,,F,41.0,203,203.0,Z001,Y3,3430.0,62082.0,100,E14,3000,3000.0,5300406263.0,0.0,1.0,21,10102000,ST,
181,00120574,706985,,0,,,,F,,708,708.0,Z011,Y9,190.0,38798.0,1,E13,2100,,5300096548.0,0.0,1.0,42,70400000,ST,
188,00110614,703351,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300004001.0,0.0,15.0,14,70600000,ST,
194,00380559,708008,,0,,,,F,,706,706.0,Z002,Y2,,,100,E11,2000,,5300136494.0,0.0,1.0,14,120000000,ST,
198,80440107,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2000,,5300147717.0,0.0,1.0,14,520100000,ST,
199,00110164,700466,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300002013.0,0.0,1.0,28,90300000,ST,
201,00393894,704039,,0,,,,F,,206,206.0,Z001,Y4,4600.0,139753.0,1,E13,2100,,5300126174.0,0.0,1.0,50,530103000,KG,
213,60063454,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300465530.0,0.0,1.0,14,520100000,ST,
