Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,uuid,outlier_features,algorithm
60047914,702686,5500007834.0,10,28,28,112,F,,715,715.0,Z003,Y4,20,20731,1036.55,1,E13,2100,,5300413813.0,0.0,1,84,080100000,ST,0,d9ad26d1725d4dc8bb320065543b021d,"Gesamtbestand, Dispolosgröße, Vertrag_Fix2, DispoGruppe",IForest
23097900,701528,5500006364.0,10,14,14,84,F,,733,733.0,Z011,Y9,1130,9582,8.479646017699116,1,E15,2100,,5300196168.0,0.0,1,84,010401000,ST,0,d12d9fce3aa44e5a94c5dcc2cc138f2c,"Einkäufer, Disponent, Vertrag_Fix2","IForest, COPOD"
33332600,700000,4600012657.0,20,42,0,0,F,,223,223.0,Z001,X9,360,498542,1384.838888888889,1,E20,2000,,5300387099.0,3.0,1,42,550100000,ST,0,106b5d7d0fcf48f88276de4050015c2e,"Dispolosgröße, Gesamtwert, Vertrag OB, Planlieferzeit Vertrag, Vertragsposition OB","IForest, ECOD, COPOD"
23463601,701165,4600012375.0,10,28,0,0,F,,202,202.0,Z011,Y6,11890,54933,4.620100925147183,1,E13,2000,,5300028879.0,0.0,1,196,060100000,ST,0,eb70d06c78514da1a927dc8816b1e5b0,"Disponent, Gesamtbestand, Einkäufer, Dispolosgröße",IForest
04005887,702686,,0,0,0,0,F,40.0,215,215.0,Z003,Y6,0,0,0.0,1,E13,2100,,,,1,84,080100000,ST,0,8bc3a37ca3184a30b76b4f7abc90d048,"Infosatznummer, Materialnummer, Lieferant OB",kNN
60089632,700535,,0,0,0,0,F,,233,233.0,Z011,Z7,310,2498137,8058.506451612903,1,,2000,,5300526486.0,0.0,1,84,110400000,ST,0,d563d4c462b94695afb43b0c6bb060b7,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00250119,2000,,0,0,0,0,F,40.0,203,203.0,Z012,Y3,1340,2621109,1956.0514925373134,1,E13,3000,3000.0,5300205520.0,0.0,1,121,140700000,ST,0,c9636b19ee944d7098d78be5db15bed0,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00370979,701806,5500005651.0,10,4,4,14,F,,708,708.0,Z011,V5,7360,6546,0.8894021739130434,100,E98,2100,,5300171869.0,0.0,2,14,140100000,ST,0,27a871b5c34743209ba7bc0b27f50759,Dispolosgröße,"ECOD, COPOD"
60046744,702686,5500007833.0,10,28,28,112,F,,715,715.0,Z003,Y4,10,2102,210.2,1,E13,2100,,5300410722.0,0.0,1,84,080600000,ST,0,e42625a2d1d44dfda6c1c4cc0fee2738,"Gesamtbestand, Dispolosgröße, Vertrag_Fix2, DispoGruppe",IForest
00360785,701806,5500004564.0,10,4,4,60,F,,708,708.0,Z011,V5,1170,2047,1.7495726495726496,100,E98,2000,,5300408555.0,0.0,2,4,140100000,ST,0,f5c6374ba27c4b14b2c10d7bd46defc9,Dispolosgröße,"ECOD, COPOD"
00346606,711970,5500005987.0,10,14,14,84,F,,715,715.0,Z001,Y5,470,694516,1477.6936170212766,1,E13,3000,,5300194000.0,0.0,1,84,080100000,ST,0,6a516fb933e4452b914fef28599c0744,"Disponent, Dispolosgröße, Warengruppe, Gesamtwert",IForest
60058153,709741,5500006443.0,10,42,42,42,F,,713,713.0,Z008,V9,0,0,0.0,1,E18,2100,,5300501523.0,0.0,1,42,010403000,ST,0,e45860cdbee54fe3b9716fd340748288,"Dispolosgröße, Planlieferzeit Vertrag, Vertrag Fix1, Einkäufer, Disponent, Kalender",ECOD
00240251,704239,5500005433.0,10,60,60,183,F,,708,708.0,Z011,Y5,16130,2071576,128.43000619962802,100,E13,2000,,5300149175.0,0.0,1,360,090100000,ST,0,6dc86f93963140d6a517ec25d50efcc8,"Vertrag_Fix2, Planlieferzeit Vertrag, Vertrag Fix1","IForest, ECOD, COPOD"
00130980,717841,5500007980.0,10,14,14,60,F,,703,703.0,Z011,Y5,1670,2297246,1375.5964071856288,1,E11,2100,,5300503935.0,0.0,1,14,070200000,ST,0,7ec13f110bdc4bffbbebe77a0992c19b,"Warengruppe, Disponent, Dispolosgröße, Kalender","kNN, IForest"
00371010,701806,5500000760.0,10,4,4,60,F,,708,708.0,Z011,V4,1240,744,0.6,100,E98,2100,,5300174246.0,0.0,2,4,140100000,ST,0,fd7e56acdac249338b2f5acc6ed83451,Dispolosgröße,"ECOD, COPOD"
00370252,701806,5500000592.0,10,4,4,60,F,,708,708.0,Z011,V5,2030,12266,6.042364532019705,100,E98,2100,,5300174120.0,0.0,2,4,140300000,ST,0,7fbd389f2cde453e9089e9eee9436e89,Dispolosgröße,"ECOD, COPOD"
34634702,707032,5500003453.0,20,14,14,180,F,,708,708.0,Z011,Y5,3420,87190,25.494152046783626,1,E11,3000,,5300170911.0,0.0,1,14,060100000,ST,0,a7381edfb7c747f9838d508c36ba7952,"Dispolosgröße, Kalender, Vertragsposition OB",IForest
00360346,701806,5500000765.0,10,4,4,60,F,,708,708.0,Z011,V5,4690,10853,2.3140724946695097,100,E98,2100,,5300168700.0,0.0,2,4,140100000,ST,0,3a3aba1510b24278ba0abd26c0983bba,Dispolosgröße,"ECOD, COPOD"
60024598,701806,5500002528.0,10,4,4,60,F,,708,708.0,Z011,V5,25500,3068,0.12031372549019607,100,E98,2000,,5300375542.0,0.0,2,4,140300000,ST,0,4b970bb8378547e2b5ab125bfcba8292,Dispolosgröße,"ECOD, COPOD"
00110052,700368,4600012483.0,10,84,0,0,F,,203,203.0,Z010,Y9,3190,1108019,347.34137931034485,1,E11,2000,,5300110253.0,0.0,1,84,070600000,ST,0,7f32981ebd8f40429e24a242a89fe5d3,"Warengruppe, Vertrag OB, Dispolosgröße, Vertrag Fix1","kNN, IForest"
00347359,702686,5500007712.0,10,28,28,112,F,,715,715.0,Z003,Y6,380,38171,100.45,1,E13,2000,,5300527569.0,0.0,1,84,080100000,ST,0,48b624cb1bf9466490a8525e4b8a2552,"Vertrag_Fix2, Einkäufer, Disponent, Vertrag Fix1","IForest, ECOD, COPOD"
31016102,709641,5500007141.0,10,14,14,42,F,,715,715.0,Z002,Y4,3770,41009,10.877718832891247,1,E13,2100,,5300168421.0,0.0,1,49,100100000,ST,0,0a0b5e48c41643008538d3afa4798d91,"Gesamtbestand, Einkäufer, Disponent","ECOD, COPOD"
34071801UB,700074,4600012301.0,10,28,0,0,F,,202,202.0,Z005,Z2,7030,1313356,186.82162162162163,1,,2000,,5300150444.0,0.0,1,200,040400000,ST,0,5b8c45c5d087476eb0004619153e793f,"Disponent, Gesamtbestand, Einkäufer, Dispolosgröße","kNN, IForest"
00360024,701806,5500000342.0,10,4,4,60,F,,708,708.0,Z011,V5,1080,1059,0.9805555555555555,100,E98,2000,,5300174022.0,0.0,2,4,140100000,ST,0,3495173fe69d472a8aca204d17c7a345,Dispolosgröße,"ECOD, COPOD"
00346733,708038,5500007226.0,10,14,14,84,F,,715,715.0,Z001,Y6,290,5911,20.382758620689657,1,E11,2100,,5300353000.0,0.0,1,84,080600000,ST,0,4be3bf765e6e4181b6ab197fe24e5483,"Kalender, Disponent, Dispolosgröße, Vertrag_Fix2",IForest
00370568,701806,5500000757.0,10,4,4,60,F,,708,708.0,Z011,V5,2030,5476,2.697536945812808,100,E98,2100,,5300174239.0,0.0,2,4,140100000,ST,0,87f4b74002114539b61b478a262120ed,Dispolosgröße,"ECOD, COPOD"
00230004,702565,5500000282.0,10,14,14,90,F,,206,206.0,Z003,Y6,850,14379,16.916470588235295,1,E15,2100,,5300004998.0,0.0,1,14,090400000,ST,0,6327db247adf4791ab3b817ecbb02140,"Warengruppe, Dispolosgröße, Kalender, DispoGruppe",IForest
00110316,715311,,0,0,0,0,F,,203,203.0,Z001,Y6,6110,1439936,235.66873977086743,1,E11,2100,,5300542907.0,0.0,1,280,070600000,ST,0,fa51cfc60c804baf9f3708deaccb17d8,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00370682,701806,5500003064.0,10,4,4,60,F,,708,708.0,Z011,V5,39350,13958,0.3547141041931385,100,E98,2000,,5300383598.0,0.0,2,4,140100000,ST,0,6cddf60738e848c5a0210820ec80c0a7,Dispolosgröße,"ECOD, COPOD"
00370550,701806,5500000566.0,10,4,4,60,F,,708,708.0,Z011,V5,3790,5487,1.4477572559366754,100,E98,2100,,5300174084.0,0.0,2,4,140100000,ST,0,eccda7e8df9c459a87428d59f736b1f7,"Materialnummer, Dispolosgröße","ECOD, COPOD"
00370776,706261,,0,0,0,0,F,,272,272.0,Z012,Y2,4150,83,0.02,100,E13,3000,,,,1,7,140100000,ST,0,d8d1bcc3939a4eb3901398f154ee580c,"Infosatznummer, Materialnummer, Lieferant OB",kNN
04005676,701710,,0,0,0,0,F,,272,272.0,Z012,Z2,60,1305,21.75,100,,3000,,,,1,63,100201000,ST,0,23f521720683448ba163f7bcdd9c35d3,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00111425,700538,,0,0,0,0,F,,203,203.0,Z001,Y5,1780,1062997,597.1893258426966,1,E11,2000,,5300178443.0,0.0,1,280,070600000,ST,0,88568748312d49a9a53946e8f53dbcef,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00347100,708038,5500006676.0,10,14,14,84,F,,715,715.0,Z001,Y6,1680,146498,87.20119047619048,1,E11,2000,,5300156936.0,0.0,1,84,080100000,ST,0,1e09c346b2a54ad090fc243e3e0ab42d,"Disponent, Einkäufer, Dispolosgröße, Kalender",IForest
04005210,706943,,0,0,0,0,F,,272,272.0,Z012,Z7,40,43372,1084.3,1,,3000,,,,1,35,130000000,ST,0,50c7fd7a1edd42dba0b3861fe83334ca,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00230109,702565,5500003525.0,10,14,14,90,F,,206,206.0,Z003,Y2,3940,92966,23.59543147208122,1,E15,2000,,5300005675.0,0.0,1,70,090400000,ST,0,1c456057e55a49ed8c27d7854ee9d60c,"Gesamtbestand, Vertrag_Fix2","IForest, ECOD, COPOD"
00360140,701806,5500000615.0,10,4,4,60,F,,708,708.0,Z011,V5,19500,13673,0.7011794871794872,100,E98,2100,,5300174148.0,0.0,2,4,140100000,ST,0,e4991e78f15b471a85526598cbe408f2,Dispolosgröße,"ECOD, COPOD"
00311330,702750,,0,0,0,0,F,,203,203.0,Z011,Y5,400,5820498,14551.245,1,E15,3000,,5300120454.0,0.0,1,210,030202000,ST,0,65e06244f7194f238588c7617b1882bc,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00110945,702584,5500005630.0,10,28,28,84,F,,203,203.0,Z010,Y9,0,0,0.0,1,E13,2000,,5300360151.0,3.0,1,84,070700000,ST,0,01653d8c893c424281eb13a281366ef1,"Infosatztyp, Dispolosgröße, DispoGruppe",IForest
34063501UB,709868,,0,0,0,0,F,,202,202.0,Z011,Y9,10830,4607301,425.4202216066482,1,E13,2000,,5300169163.0,0.0,1,105,040100000,ST,0,d98fb1e0692e4a97b1579d64b387e86c,"Infosatznummer, Materialnummer, Lieferant OB",kNN
00370682,701806,5500003065.0,10,4,4,60,F,,708,708.0,Z011,V5,6270,2236,0.3566188197767145,100,E98,2100,,5300383598.0,0.0,2,4,140100000,ST,0,03ede2ecab1e4d42b0db07624dc6df7c,Dispolosgröße,"ECOD, COPOD"
00350085,701806,5500000403.0,10,4,4,60,F,,708,708.0,Z011,V5,2091890,167068,0.0798646200326021,1000,E98,2000,,5300174093.0,0.0,2,4,140200000,ST,0,1f7f5fbddf61472886df46914d8db3e3,"Gesamtbestand, Dispolosgröße","ECOD, COPOD"
60091283,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z5,5980,1169378,195.54816053511706,1,,3000,3000.0,5300502469.0,0.0,1,10,030202000,ST,0,db62c33467e14a2294362d16326f53fe,"Infosatznummer, Materialnummer, Lieferant OB",kNN
