Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,outlier_features,uuid,algorithm
00347354,702686.0,5500007704.0,10.0,28.0,28,112,F,,715,715.0,Z003,Y6,80.0,6759,84.4875,100,E13,2000,,5300527564.0,0.0,1,84,080100000,ST,,,e27d7a9678874ddfb05c5c25aeb0d324,XGBOD
00311266,702750.0,,0.0,0.0,0,0,F,,203,203.0,Z011,Y5,940.0,17586405,18708.941489361703,1,E15,3000,,5300432096.0,0.0,1,210,030203000,ST,,,7e377a5632e140ff9bc46793d939e7f4,XGBOD
00200226,700020.0,5500004801.0,10.0,4.0,4,60,F,,708,708.0,Z011,X4,7860.0,3602,0.4582697201017812,100,E20,2000,,5300189523.0,0.0,1,4,100202000,ST,,,4226516cc2f646789ca34eb09cabab2f,XGBOD
00402102UB,701317.0,4600012883.0,10.0,60.0,0,0,F,,211,211.0,Z010,Y5,0.0,0,0,1,E12,2100,,5300070474.0,0.0,1,70,010000000,ST,,,baf91d1fd5b446b39eceb6808470502d,RoSAS
01503225,700230.0,5500000037.0,30.0,14.0,14,84,F,,715,715.0,Z001,Y5,56020.0,117642,2.1,100,E14,2000,,5300030102.0,0.0,1,14,100202000,ST,,,89ba52ee518146529948310c5d9f32dd,XGBOD
00360029,701806.0,,0.0,0.0,0,0,F,,208,208.0,Z011,V4,1280.0,1783,1.39296875,100,E98,2800,,5300174058.0,0.0,2,4,140100000,ST,,,9808cda71f764caeba4e987f1618f0fb,XGBOD
34733902,2000.0,,0.0,0.0,0,0,F,40.0,266,998.0,Z004,EX,0.0,0,0,1,,2700,3000.0,5300283690.0,0.0,0,5,010102000,ST,,,51c13482101d4a73b49f4008322f9787,RoSAS
33645010,2100.0,,0.0,0.0,0,0,F,41.0,224,224.0,Z012,Z9,1680.0,222653,132.53154761904761,1,,3000,3000.0,5300199152.0,0.0,1,70,040100000,ST,,,cad826d2066f495ba8b342fefa1221db,XGBOD
34060806,710155.0,,0.0,0.0,0,0,F,30.0,202,202.0,Z001,Z0,0.0,0,0,1,,2000,,5300460749.0,3.0,1,28,040100000,ST,,,1930d5a9b3e847cba9af0b43a9ba62c1,XGBOD
24034001,2000.0,,0.0,0.0,0,0,F,40.0,212,212.0,Z012,Z1,0.0,0,0,100,,3000,3000.0,5300241422.0,0.0,1,999,060100000,ST,,,af0cbe4425fa4240b1241996d4389a29,RoSAS
