Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,correct,uuid,outlier_features,algorithm,anomaly_normal
60086486,714198.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,14480.0,7039008.0,486.1193370165746,1.0,,2000.0,,5300499506.0,0.0,1,999,40100000,ST,0.0,b4e03650ca684155851323c437701651,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
60096593,714198.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,8690.0,5530836.0,636.4598388952819,1.0,,2000.0,,5300499504.0,0.0,1,999,40100000,ST,0.0,25edb011264d49f8ae3b36a094fdb27f,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
60092683,715200.0,,0.0,0.0,0,0,F,30.0,231,231.0,Z013,Z3,940.0,2407998.0,2561.7,1.0,,2000.0,,5300535760.0,3.0,1,28,550100000,ST,0.0,624ba1d8cfe74e42ac277afc5ec776e6,"Materialnummer, Lieferant OB, Infosatznummer",kNN,0.0
60100535,715200.0,,0.0,0.0,0,0,F,30.0,231,231.0,Z013,Z3,1780.0,6839116.0,3842.2,1.0,,2000.0,,5300535763.0,3.0,1,28,550100000,ST,0.0,d66be24f5cb54506b3ce91bd01e3cc56,"Materialnummer, Lieferant OB, Infosatznummer",kNN,0.0
36020778,701710.0,,0.0,0.0,0,0,F,42.0,231,231.0,Z008,Y4,0.0,0.0,0.0,1.0,E14,2100.0,,,,1,14,100000000,ST,0.0,08f19cf46d424522ba8653e855213fd2,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
36020778,701710.0,,0.0,0.0,0,0,F,42.0,231,231.0,Z012,Y4,0.0,0.0,0.0,1.0,E14,2000.0,,,,1,1,100000000,ST,0.0,90c27453ca764d649df4a09281f1494e,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
60100535,715200.0,,0.0,0.0,0,0,F,30.0,231,231.0,Z008,Z3,1670.0,6416474.0,3842.2,1.0,,2100.0,,5300535763.0,3.0,1,28,550100000,ST,0.0,23570bb1b73049848c25998b582b24d4,"Materialnummer, Lieferant OB, Infosatznummer",kNN,0.0
60086484,714198.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,14840.0,6743307.0,454.40074123989217,1.0,,2000.0,,5300499507.0,0.0,1,999,40100000,ST,0.0,1220b491aa934fc4b0b88d784d2d030a,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
60030486,3000.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,540.0,23404.0,43.34074074074074,100.0,,2100.0,,,,1,5,100202000,ST,0.0,bde5b32563f94da4a596b4b79b6c09be,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
34071402,700409.0,,0.0,0.0,0,0,F,,203,203.0,Z010,Y9,13520.0,5041608.0,372.9,1.0,E13,2000.0,,5300150360.0,0.0,1,14,50100000,ST,0.0,3c4bb1256b614b77abd3dec9f3411e4b,"Materialnummer, Lieferant OB, Infosatznummer",kNN,1.0
34063505,710155.0,5500009098.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,26250.0,301350.0,11.48,1.0,,2100.0,,5300460737.0,3.0,1,14,40100000,ST,0.0,7e581895d4334206ae88f40f837f3079,"Gesamtbestand, Dispolosgröße, Warengruppe, Disponent, Einkäufer","ECOD, COPOD",0.0
34067301,710155.0,5500009109.0,10.0,28.0,28,28,F,30.0,702,702.0,Z005,X1,1810.0,911964.0,503.8475138121547,1.0,,3000.0,,5300545547.0,3.0,1,28,40100000,ST,0.0,85f3567270aa41c98d993893704b976f,"Dispolosgröße, Warengruppe, Disponent, Gesamtwert, Vertrag Fix1, DispoGruppe, Einkäufer","ECOD, kNN, COPOD, IForest",0.0
34638400,701318.0,5500000006.0,20.0,12.0,12,42,F,30.0,702,702.0,Z001,Z3,0.0,0.0,0.0,1.0,,2000.0,,5300067187.0,3.0,1,42,10403000,ST,0.0,d8ca0ae8aeb04f93a1c0f4d07098b38f,"Einkäufer, Vertragsposition OB, Disponent","ECOD, COPOD",0.0
34063503,710155.0,5500009096.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,350.0,18214.0,52.04,1.0,,2100.0,,5300460739.0,3.0,1,28,40100000,ST,0.0,6f13526891fd42d9b7325bf28db3a06f,"Dispolosgröße, Warengruppe, Disponent, Vertrag Fix1, Einkäufer","ECOD, COPOD",0.0
