Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preis pro Stück,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE_Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit,uuid,algorithm,correct
60086486,714198.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,14480.0,7039008,486.1193370165746,1,,2000,,5300499506.0,0.0,1,70,40100000,ST,b4e03650ca684155851323c437701651,kNN,1
60096593,714198.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,8690.0,5530836,636.4598388952819,1,,2000,,5300499504.0,0.0,1,70,40100000,ST,25edb011264d49f8ae3b36a094fdb27f,kNN,1
60092683,715200.0,,0.0,0.0,0,0,F,30.0,231,231.0,Z013,Z3,940.0,2407998,2561.7,1,,2000,,5300535760.0,3.0,1,28,550100000,ST,624ba1d8cfe74e42ac277afc5ec776e6,kNN,1
60100535,715200.0,,0.0,0.0,0,0,F,30.0,231,231.0,Z013,Z3,1780.0,6839116,3842.2,1,,2000,,5300535763.0,3.0,1,28,550100000,ST,d66be24f5cb54506b3ce91bd01e3cc56,kNN,1
36020778,3000.0,,0.0,0.0,0,0,F,42.0,231,231.0,Z008,Y4,0.0,0,0.0,1,,2100,,,,1,14,100000000,ST,08f19cf46d424522ba8653e855213fd2,kNN,1
36020778,3000.0,,0.0,0.0,0,0,F,42.0,231,231.0,Z012,Y4,0.0,0,0.0,1,,2000,,,,1,1,100000000,ST,90c27453ca764d649df4a09281f1494e,kNN,1
60100535,715200.0,,0.0,0.0,0,0,F,30.0,231,231.0,Z008,Z3,1670.0,6416474,3842.2,1,,2100,,5300535763.0,3.0,1,28,550100000,ST,23570bb1b73049848c25998b582b24d4,kNN,1
60086484,714198.0,,0.0,0.0,0,0,F,,231,231.0,Z001,Z1,14840.0,6743307,454.40074123989217,1,,2000,,5300499507.0,0.0,1,70,40100000,ST,1220b491aa934fc4b0b88d784d2d030a,kNN,1
60030486,3000.0,,0.0,0.0,0,0,F,42.0,231,231.0,Z001,Z1,540.0,23404,43.34074074074074,100,,2100,,,,1,5,100202000,ST,bde5b32563f94da4a596b4b79b6c09be,kNN,1
34071402,700409.0,,0.0,0.0,0,0,F,,203,203.0,Z010,Y9,13520.0,5041608,"35,10",1,E13,2000,,5300150360.0,0.0,1,140,50100000,ST,3c4bb1256b614b77abd3dec9f3411e4b,kNN,1
34063505,710155.0,5500009098.0,10.0,14.0,14,14,F,30.0,702,702.0,Z001,X1,26250.0,301350,11.48,1,,2100,,5300460737.0,3.0,1,14,40100000,ST,7e581895d4334206ae88f40f837f3079,"ECOD, COPOD",1
34067301,710155.0,5500009109.0,10.0,28.0,28,28,F,30.0,702,702.0,Z005,X1,1810.0,911964,503.8475138121547,1,,3000,,5300545547.0,3.0,1,28,40100000,ST,85f3567270aa41c98d993893704b976f,"ECOD, kNN, COPOD, IForest",1
34638400,701318.0,5500000006.0,20.0,12.0,12,42,F,30.0,702,702.0,Z001,Z3,0.0,0,0.0,1,,2000,,5300067187.0,3.0,1,42,10403000,ST,d8ca0ae8aeb04f93a1c0f4d07098b38f,"ECOD, COPOD",1
34063503,710155.0,5500009096.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,350.0,18214,52.04,1,,2100,,5300460739.0,3.0,1,28,40100000,ST,6f13526891fd42d9b7325bf28db3a06f,"ECOD, COPOD",1
34060806,710155.0,5500009106.0,10.0,28.0,28,28,F,30.0,702,702.0,Z001,X1,1550.0,776113,500.718064516129,1,,3000,,5300460749.0,3.0,1,28,40100000,ST,b8f1fc779a3d47c4a3d99e32ec2f054c,"ECOD, COPOD",1
34060844,710155.0,5500009107.0,10.0,14.0,14,14,F,30.0,702,702.0,Z010,Z3,610.0,37793,61.95573770491804,1,,3000,,5300547227.0,3.0,1,14,40100000,ST,8ae25b7457534d39866fe07abc04f912,"ECOD, COPOD",1
