Contract Position,Base unit,Product group,Procurement type,Total value,Material master time,Buyer,Contract,Fixed contract 1,Plant,Information record type,Total quantity,Material number,Purchasing group,Supplier,Price unit,Fulfillment time,Calendar,Special procurement type,Purchasing lot size,Plant information record,Information record number,Dispatcher,Fixed contract 2,anomaly
0.0,ST,40100000,F,7039008,70,231.0,,0.0,2000,0.0,14480.0,60086486,Z001,714198.0,1,0.0,,,Z1,,5300499506.0,231,0.0,1
0.0,ST,40100000,F,5530836,70,231.0,,0.0,2000,0.0,8690.0,60096593,Z001,714198.0,1,0.0,,,Z1,,5300499504.0,231,0.0,1
0.0,ST,550100000,F,2407998,28,231.0,,0.0,2000,3.0,940.0,60092683,Z013,715200.0,1,0.0,,30.0,Z3,,5300535760.0,231,0.0,1
0.0,ST,550100000,F,6839116,28,231.0,,0.0,2000,3.0,1780.0,60100535,Z013,715200.0,1,0.0,,30.0,Z3,,5300535763.0,231,0.0,1
0.0,ST,100000000,F,0,14,231.0,,0.0,2100,,0.0,36020778,Z008,3000.0,1,0.0,,42.0,Y4,,,231,0.0,1
0.0,ST,100000000,F,0,1,231.0,,0.0,2000,,0.0,36020778,Z012,3000.0,1,0.0,,42.0,Y4,,,231,0.0,1
0.0,ST,550100000,F,6416474,28,231.0,,0.0,2100,3.0,1670.0,60100535,Z008,715200.0,1,0.0,,30.0,Z3,,5300535763.0,231,0.0,1
0.0,ST,40100000,F,6743307,70,231.0,,0.0,2000,0.0,14840.0,60086484,Z001,714198.0,1,0.0,,,Z1,,5300499507.0,231,0.0,1
0.0,ST,100202000,F,23404,5,231.0,,0.0,2100,,540.0,60030486,Z001,3000.0,100,0.0,,42.0,Z1,,,231,0.0,1
0.0,ST,50100000,F,5041608,140,203.0,,0.0,2000,0.0,13520.0,34071402,Z010,700409.0,1,0.0,E13,,Y9,,5300150360.0,203,0.0,1
10.0,ST,40100000,F,301350,14,702.0,5500009098.0,14.0,2100,3.0,26250.0,34063505,Z001,710155.0,1,14.0,,30.0,X1,,5300460737.0,702,14.0,1
10.0,ST,40100000,F,911964,28,702.0,5500009109.0,28.0,3000,3.0,1810.0,34067301,Z005,710155.0,1,28.0,,30.0,X1,,5300545547.0,702,28.0,1
