,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
0,00345241,3000,,0,,,,F,40.0,215,215.0,Z006,Z1,,,1,,2100,,,,1,3.0,80100000,ST,0
1,00346718,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,,,,1,3.0,80600000,ST,0
2,60038465,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,,,,1,84.0,80100000,ST,1
3,60038640,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,1,,3000,,,,1,84.0,80300000,ST,1
4,60014570,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,,,,1,3.0,80100000,ST,0
5,28287702UB,3000,,0,,,,F,42.0,233,233.0,Z011,Y4,,,1,E15,2100,2000.0,5300529236.0,0.0,1,3.0,60100000,ST,1
6,28287702UB,3000,,0,,,,F,42.0,233,233.0,Z011,Y4,,,1,E15,2100,2100.0,5300529236.0,0.0,1,3.0,60100000,ST,1
7,60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2000,2000.0,5300530239.0,0.0,1,1.0,110400000,ST,1
8,60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2000,2100.0,5300530239.0,0.0,1,1.0,110400000,ST,1
9,60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2000,2800.0,5300530239.0,0.0,1,1.0,110400000,ST,1
10,60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2100,2000.0,5300530239.0,0.0,1,91.0,110400000,ST,1
11,60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2100,2100.0,5300530239.0,0.0,1,91.0,110400000,ST,1
