,feature,importance,std
0,Fulfillment time,0.00011139898163583934,2.9216269235320276e-05
1,Fixed contract 1,0.00012296192160197588,2.031990683611103e-05
2,Fixed contract 2,8.461288047872939e-06,2.5616298978056417e-05
3,Total quantity,0.0005130591065889229,6.962548889138054e-05
4,Total value,0.0004365209234333256,3.563629844805868e-05
5,Price unit,0.0005853573512554818,7.411726923476188e-05
6,Plant processing time,-0.00010198140371751318,2.1360531781366902e-05
7,Material master time,0.0013549805097839347,0.000100858785401569
8,Material number,0.0017174639561279305,6.213764120797192e-05
9,Supplier,0.00342398912109331,0.00011169243629664681
10,Contract,0.000307706466874616,2.8595150756707654e-05
11,Contract Position,-5.3576631112581266e-05,4.1452331634635974e-05
12,Procurement type,0.0,0.0
13,Special procurement type,0.006508579956704752,0.0002702108402683084
14,Dispatcher,0.0021462383512505416,9.784215921974351e-05
15,Buyer,0.002069579239827121,0.0001127134674019254
16,Purchasing group,0.006627550383586858,0.0003349197883292323
17,Purchasing lot size,0.0018992261683684647,0.00013345351333457313
18,Calendar,0.002758748876828031,0.0001312023183861347
19,Plant,0.0058283133442846675,0.0002444243739616461
20,Plant information record,0.004001389313799952,0.00016426354767084357
21,Information record number,0.0033042548459676245,0.00010075038833953311
22,Information record type,-0.00010980476379884307,2.7264313891467535e-05
23,Product group,0.0009009997510245795,7.037320931584786e-05
24,Base unit,-2.428965022753943e-05,2.1474839671272543e-05
