,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly
6252,25479604,2000,,0,,,,F,40.0,213,213.0,Z012,Z1,,,100,,3000,3000.0,5300258946.0,0.0,1.0,999,10502000,ST,0
4684,34447500,2100,,0,,,,F,41.0,224,224.0,Z012,Z5,20.0,122516.0,1,,3000,3000.0,5300199487.0,0.0,1.0,42,010402000,ST,0
1731,00100713,700222,,0,,,,F,,208,208.0,Z011,Y3,20.0,29.0,100,E11,2000,,5300160503.0,0.0,1.0,14,070300000,ST,0
4742,00390138,700225,,0,,,,F,,206,206.0,Z001,Y4,100.0,8245.0,1,E15,2100,,5300430919.0,0.0,1.0,30,530402000,ST,1
4521,60034401,702399,,0,,,,F,30.0,228,228.0,Z001,Y4,,,1,E14,2000,,5300387694.0,3.0,1.0,70,10403000,ST,0
6340,34758901,2000,,0,,,,F,72.0,223,223.0,Z012,Z3,,,1,,3000,2700.0,5300284159.0,0.0,1.0,42,010103000,ST,0
576,24596806,2000,,0,,,,F,40.0,206,206.0,Z012,Z1,33900.0,856176.0,100,,3000,3000.0,5300183589.0,0.0,1.0,120,100200000,ST,0
5202,24037100UB,702225,,0,,,,F,,213,213.0,Z001,Z1,,,1,,2100,,5300144993.0,0.0,1.0,56,10401000,ST,0
6363,00423288,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300219656.0,0.0,1.0,999,10102000,ST,0
439,25501200,2000,,0,,,,F,40.0,989,989.0,Z012,Z1,,,1,,3000,3000.0,5300259982.0,0.0,1.0,999,070500000,ST,0
2750,23941402,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,100,,3000,3000.0,5300240282.0,0.0,1.0,42,010201000,ST,0
7487,34032605,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415313.0,3.0,1.0,7,010301000,ST,1
5272,60080559,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,100,,3000,3000.0,5300462576.0,0.0,1.0,10,10102000,ST,0
5653,30034437,1900,,0,,,,F,,206,206.0,Z001,Z7,,,100,,2000,,5300078798.0,0.0,1.0,5,010102000,ST,0
3999,24655700,2000,,0,,,,F,40.0,224,224.0,Z012,EX,,,1,,3000,3000.0,5300251101.0,0.0,1.0,42,10401000,ST,0
6033,30020779,1900,,0,,,,F,,272,272.0,Z012,Y4,20.0,1919.0,1000,E11,3000,,5300133595.0,0.0,1.0,56,010300000,ST,0
582,24479406,2000,,0,,,,F,40.0,223,223.0,Z012,Z1,,,1,,3000,3000.0,5300247786.0,0.0,1.0,999,010102000,ST,0
9930,23921102,700000,,0,,,,F,,723,723.0,Z001,X3,160.0,34271.0,100,E20,2000,,5300112403.0,0.0,1.0,35,010502000,ST,0
7051,60012512,700151,,0,,,,F,,233,233.0,Z011,Y4,160.0,23452.0,100,E15,2100,,5300378186.0,0.0,1.0,42,060100000,ST,0
8158,00150114,700417,,0,,,,F,,707,707.0,Z003,Y9,1920.0,118266.0,1,E13,2100,,5300015463.0,0.0,1.0,28,140700000,ST,1
9896,00300072,703335,,0,,,,F,,219,219.0,Z001,Z1,,,1,,2000,,5300016068.0,0.0,15.0,42,140300000,ST,1
2249,30119300,1900,,0,,,,F,,272,272.0,Z012,Z7,,,1,,3000,,5300370915.0,0.0,1.0,35,010401000,ST,0
4640,60128403,702225,,0,,,,F,,213,213.0,Z008,Z1,,,1,,3000,,5300547405.0,0.0,1.0,56,10401000,ST,0
9485,36021103,700151,,0,,,,F,,233,233.0,Z011,Y4,,,100,E13,2000,,5300170368.0,0.0,1.0,28,060100000,ST,0
4947,00270177,2000,,0,,,,F,40.0,203,203.0,Z012,Z1,,,1,,3000,3000.0,5300205941.0,0.0,1.0,21,130000000,ST,0
9920,23246600UB,1000,,0,,,,F,,991,991.0,Z008,Z4,,,1,,2100,,5300058081.0,0.0,1.0,42,10401000,ST,0
1963,00371193,700020,,0,,,,F,,208,208.0,Z011,X4,2100.0,585.0,100,E20,3000,,5300150882.0,0.0,1.0,14,140100000,ST,0
8243,00270297,701348,,0,,,,F,,206,206.0,Z012,Z1,140.0,3812.0,1,,3000,,5300008263.0,0.0,1.0,14,131400000,ST,1
6590,30098700,1900,,0,,,,F,,272,272.0,Z012,Z1,10.0,4513.0,1,,3000,,5300148662.0,0.0,1.0,33,010501000,ST,0
8847,00394299,2000,,0,,,,F,40.0,206,206.0,Z012,Y4,,,1,E12,3000,3000.0,5300216361.0,0.0,1.0,30,530104000,ST,0
321,28126200UB,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,3000,,5300064244.0,0.0,1.0,3,10403000,ST,0
