Unnamed: 0,Material number_x,Supplier_x,Contract_x,Contract Position_x,Fulfillment time_x,Fixed contract 1_x,Fixed contract 2_x,Procurement type_x,Special procurement type_x,Dispatcher_x,Buyer_x,Purchasing group_x,Purchasing lot size_x,Total quantity_x,Total value_x,Price unit_x,Calendar_x,Plant_x,Plant information record_x,Information record number_x,Information record type_x,Plant processing time_x,Material master time_x,Product group_x,Base unit_x,Material number_y,Supplier_y,Contract_y,Contract Position_y,Fulfillment time_y,Fixed contract 1_y,Fixed contract 2_y,Procurement type_y,Special procurement type_y,Dispatcher_y,Buyer_y,Purchasing group_y,Purchasing lot size_y,Total quantity_y,Total value_y,Price unit_y,Calendar_y,Plant_y,Plant information record_y,Information record number_y,Information record type_y,Plant processing time_y,Material master time_y,Product group_y,Base unit_y,if_anomaly
29,95194023,712009,5500003451.0,20,14.0,14.0,112.0,F,,715,715.0,Z001,Y9,36940.0,391579.0,100,E13,2000,,5300194607.0,0.0,1.0,14,90400000,ST,95194023,712009,5500003451.0,20,14.0,14.0,112.0,F,,715,715.0,Z001,Y9,36940.0,391579.0,100,E13,2000,,5300194607.0,0.0,1.0,14,90400000,ST,0
45,04001496,1900,,0,,,,F,,276,276.0,Z012,Y4,2170.0,631762.0,1,E11,3000,,5300078144.0,0.0,1.0,61,70600000,ST,04001496,1900,,0,,,,F,,276,276.0,Z012,Y4,2170.0,631762.0,1,E11,3000,,5300078144.0,0.0,1.0,61,70600000,ST,0
115,31013003,1000,,0,,,,F,,991,991.0,Z008,TB,,,100,,3000,,5300039718.0,0.0,1.0,3,10502000,ST,31013003,1000,,0,,,,F,,991,991.0,Z008,TB,,,100,,3000,,5300039718.0,0.0,1.0,3,10502000,ST,0
166,80651204,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300115699.0,0.0,1.0,14,520100000,ST,80651204,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300115699.0,0.0,1.0,14,520100000,ST,0
173,60037314,2100,,0,,,,F,41.0,203,203.0,Z001,Y3,3430.0,62082.0,100,E14,3000,3000.0,5300406263.0,0.0,1.0,21,10102000,ST,60037314,2100,,0,,,,F,41.0,203,203.0,Z001,Y3,3430.0,62082.0,100,E14,3000,3000.0,5300406263.0,0.0,1.0,21,10102000,ST,0
213,60063454,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300465530.0,0.0,1.0,14,520100000,ST,60063454,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300465530.0,0.0,1.0,14,520100000,ST,0
228,28181900UB,700585,4600012585.0,10,84.0,,,F,,203,203.0,Z010,Y5,80.0,62712.0,1,E14,3000,,5300084186.0,0.0,1.0,14,10401000,ST,28181900UB,700585,4600012585.0,10,84.0,,,F,,203,203.0,Z010,Y5,80.0,62712.0,1,E14,3000,,5300084186.0,0.0,1.0,14,10401000,ST,0
249,95070220,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415406.0,3.0,1.0,7,10302000,ST,95070220,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415406.0,3.0,1.0,7,10302000,ST,0
261,270237,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300033991.0,0.0,40.0,112,60200000,ST,270237,703564,,0,,,,F,,203,203.0,Z001,Z1,,,1,,2100,,5300033991.0,0.0,40.0,112,60200000,ST,0
275,23431601,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415122.0,3.0,1.0,7,60100000,ST,23431601,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415122.0,3.0,1.0,7,60100000,ST,0
281,00350787,701806,5500003585.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,9030.0,3139.0,100,E98,2000,,5300391586.0,0.0,2.0,4,140200000,ST,00350787,701806,5500003585.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,V5,9030.0,3139.0,100,E98,2000,,5300391586.0,0.0,2.0,4,140200000,ST,0
313,95050019,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415388.0,3.0,1.0,7,10202000,ST,95050019,703929,,0,,,,F,30.0,993,992.0,Z001,Z1,,,1,,2000,,5300415388.0,3.0,1.0,7,10202000,ST,0
