Materialnummer,Lieferant OB,Vertrag OB,Vertragsposition OB,Planlieferzeit Vertrag,Vertrag Fix1,Vertrag_Fix2,Beschaffungsart,Sonderbeschaffungsart,Disponent,Einkäufer,DispoGruppe,Dispolosgröße,Gesamtbestand,Gesamtwert,Preiseinheit,Kalender,Werk OB,Werk Infosatz,Infosatznummer,Infosatztyp,WE-Bearbeitungszeit,Planlieferzeit Mat-Stamm,Warengruppe,Basiseinheit
25479604,2000,,0,0,0,0,F,40.0,213,213.0,Z012,Z1,0,0,100,,3000,3000.0,5300258946.0,0.0,1,999,10502000,ST
34447500,2100,,0,0,0,0,F,41.0,224,224.0,Z012,Z5,20,122516,1,,3000,3000.0,5300199487.0,0.0,1,42,010402000,ST
00100713,700222,,0,0,0,0,F,,208,208.0,Z011,Y3,20,29,100,E11,2000,,5300160503.0,0.0,1,14,070300000,ST
00390138,700225,,0,0,0,0,F,,206,206.0,Z001,Y4,100,8245,1,E15,2100,,5300430919.0,0.0,1,30,530402000,ST
60034401,702399,,0,0,0,0,F,30.0,228,228.0,Z001,Y4,0,0,1,E14,2000,,5300387694.0,3.0,1,70,10403000,ST
34758901,2000,,0,0,0,0,F,72.0,223,223.0,Z012,Z3,0,0,1,,3000,2700.0,5300284159.0,0.0,1,42,010103000,ST
24596806,2000,,0,0,0,0,F,40.0,206,206.0,Z012,Z1,33900,856176,100,,3000,3000.0,5300183589.0,0.0,1,120,100200000,ST
24037100UB,702225,,0,0,0,0,F,,213,213.0,Z001,Z1,0,0,1,,2100,,5300144993.0,0.0,1,56,10401000,ST
00423288,2000,,0,0,0,0,F,40.0,223,223.0,Z012,Z1,0,0,1,,3000,3000.0,5300219656.0,0.0,1,999,10102000,ST
25501200,2000,,0,0,0,0,F,40.0,989,989.0,Z012,Z1,0,0,1,,3000,3000.0,5300259982.0,0.0,1,999,070500000,ST
23941402,2000,,0,0,0,0,F,40.0,224,224.0,Z012,Z4,0,0,100,,3000,3000.0,5300240282.0,0.0,1,42,010201000,ST
