,Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,anomaly,if_anomaly
508,00310014,700585,,0,,,,F,,203,203.0,Z010,Y5,,,1,E14,2100,,5300018014.0,0.0,1.0,14,030100000,ST,0,1
516,00370531,700020,5500001744.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,X4,1130.0,3357.0,1,E20,2000,,5300004180.0,0.0,1.0,4,140100000,ST,1,1
965,80360308,702590,,0,,,,F,,203,203.0,Z008,Y6,,,100,E11,2100,,5300172877.0,0.0,1.0,14,520100000,ST,0,1
322,23515405,702225,,0,,,,F,,221,221.0,Z001,Z7,70.0,11145.0,100,,2100,,5300067799.0,0.0,1.0,28,010102000,ST,0,1
618,25496900-02,1900,,0,,,,F,,272,272.0,Z012,Z7,,,1,,3000,,5300381561.0,0.0,1.0,40,010102000,ST,1,1
719,04003927,700535,,0,,,,F,,233,233.0,Z011,Z7,,,1,,2000,,5300107490.0,0.0,1.0,56,110400000,ST,1,1
147,00345109,708235,,0,,,,F,,215,215.0,Z008,Y7,130.0,10319.0,1,E13,3000,,5300137142.0,0.0,1.0,42,080200000,ST,1,1
509,60079805,1900,,0,,,,F,,276,276.0,Z012,Z7,480.0,53148.0,1,,3000,,5300477491.0,0.0,1.0,117,080100000,ST,1,1
876,00260197,700985,,0,,,,F,,203,203.0,Z005,Y2,10480.0,9475.0,100,E13,2000,,5300006876.0,0.0,1.0,49,090300000,ST,0,1
493,00220101,701232,,0,,,,F,,707,707.0,Z001,Z2,,,1,,2100,,5300004952.0,0.0,1.0,21,131500000,ST,0,1
275,24110308,702225,,0,,,,F,,221,221.0,Z001,Z7,,,100,,2000,,5300076970.0,0.0,1.0,28,010502000,ST,0,1
661,00270780,700362,,0,,,,F,,707,707.0,Z001,Z2,,,100,,2100,,5300078933.0,0.0,1.0,42,130000000,ST,0,1
113,24649200,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,1,,3000,3000.0,5300250949.0,0.0,1.0,42,10402000,ST,1,1
835,82019785,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,1,,3000,3000.0,5300299107.0,0.0,1.0,42,70500000,ST,1,1
933,60032284,709124,,0,,,,F,,276,276.0,Z012,Y4,40.0,334729.0,1,E13,3000,,5300389546.0,0.0,1.0,140,080100000,ST,1,1
496,24240421,1000,,0,,,,F,,991,991.0,Z008,TB,,,1,,3000,,5300031205.0,0.0,1.0,3,010103000,ST,0,1
487,80660303,2000,,0,,,,F,40.0,203,203.0,Z012,Y2,,,1,E11,3000,3000.0,5300296105.0,0.0,1.0,21,520100000,ST,1,1
526,31085002,2000,,0,,,,F,40.0,224,224.0,Z012,Z4,,,1,,3000,3000.0,5300270949.0,0.0,1.0,28,10102000,ST,1,1
899,00385781,708008,,0,,,,F,,703,703.0,Z008,Y2,220.0,1302.0,100,E11,2000,,5300126952.0,0.0,1.0,14,120000000,ST,0,1
895,00200062,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,100,,3000,3000.0,5300119413.0,0.0,1.0,28,80600000,ST,1,1
506,60103238,2000,,0,,,,F,40.0,224,224.0,Z012,Z5,,,1,,3000,3000.0,5300529712.0,0.0,1.0,10,00,ST,1,1
182,80832002,2000,,0,,,,F,40.0,203,203.0,Z012,Z1,,,100,,3000,3000.0,5300359110.0,0.0,1.0,14,520100000,ST,1,1
