Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,if_anomaly
00400675,701317,,0,,,,F,,211,211.0,Z010,Y4,,,1000,E12,2100,,5300020171.0,0.0,1.0,28,010100000,MM,0
00400456,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018495.0,0.0,1.0,14,010301000,MM,0
28286600UB,704926,5500001870.0,20,42.0,42.0,42.0,F,30.0,723,723.0,Z008,Z3,,,1,,2100,,5300083667.0,3.0,1.0,42,10403000,ST,0
00400508,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216758.0,0.0,1.0,35,010202000,MM,0
00400924,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300217097.0,0.0,1.0,35,010301000,MM,0
00400400,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018057.0,0.0,1.0,14,010301000,MM,0
00384088,708008,,0,,,,F,,703,703.0,Z008,Y2,,,1000,E11,2000,,5300126891.0,0.0,1.0,14,120000000,MM,0
00180125,2000,,0,,,,F,40.0,215,215.0,Z012,Y4,295000.0,33121.0,1000,E13,3000,3000.0,5300181061.0,0.0,1.0,63,100300000,MM,0
00401930,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217467.0,0.0,1.0,35,010205000,MM,0
00270351,701348,,0,,,,F,,206,206.0,Z001,Y4,,,1000,E14,2100,,5300008485.0,0.0,1.0,28,100300000,MM,0
00400740,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300018513.0,0.0,1.0,14,010205000,MM,0
35184200UB,704926,4600012419.0,20,42.0,,,F,30.0,723,723.0,Z008,Z3,,,1,,2000,,5300108981.0,3.0,1.0,42,10402000,ST,0
00400934,702533,,0,,,,F,,206,206.0,Z001,Z7,,,1000,,2100,,5300019747.0,0.0,1.0,14,010202000,MM,0
00400982,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300217144.0,0.0,1.0,35,010301000,MM,0
00400408,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300057603.0,0.0,1.0,35,010301000,MM,0
60040124,2000,,0,,,,F,40.0,215,215.0,Z003,Z0,1500.0,2611027.0,1,,2100,2100.0,5300430062.0,0.0,1.0,3,080400000,ST,0
00180080,700222,,0,,,,F,,208,208.0,Z011,Y3,312000.0,777.0,1000,E11,2000,,5300059126.0,0.0,1.0,14,100300000,MM,0
00180107,704035,,0,,,,F,,215,215.0,Z012,Y4,485987.0,109201.0,1000,E13,3000,,5300095035.0,0.0,1.0,28,100300000,MM,0
00341363,700808,4600012164.0,10,365.0,,,F,30.0,215,215.0,Z001,X1,5170.0,12440054.0,1,,2000,,5300113375.0,3.0,1.0,365,80800000,ST,0
00400866,702533,,0,,,,F,,206,206.0,Z001,Z1,,,1000,,2100,,5300019363.0,0.0,1.0,14,010202000,MM,0
04004552,701112,,0,,,,F,,206,206.0,Z001,Z2,,,1000,,2100,,5300116487.0,0.0,1.0,42,110100000,ST,0
00400010,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216378.0,0.0,1.0,35,010201000,MM,0
00400124,2000,,0,,,,F,72.0,206,206.0,Z012,Z7,,,1000,,3000,3000.0,5300216486.0,0.0,1.0,35,010201000,MM,0
00180074,701256,,0,,,,F,,215,215.0,Z002,Y3,1280000.0,3361.0,1000,E13,2000,,5300000640.0,0.0,1.0,42,100300000,MM,0
04003755,700020,,0,,,,F,,708,708.0,Z011,X4,,,1000,E20,2100,,5300125147.0,0.0,1.0,13,100202000,ST,0
04004753,700020,,0,,,,F,,708,708.0,Z011,X4,,,1000,E20,2100,,5300107882.0,0.0,1.0,14,140200000,ST,0
00180005,2000,,0,,,,F,40.0,215,215.0,Z012,Y3,,,1000,E13,3000,3000.0,5300203834.0,0.0,1.0,28,100300000,MM,0
00400731,2000,,0,,,,F,72.0,206,206.0,Z012,Z1,,,1000,,3000,3000.0,5300216939.0,0.0,1.0,28,010205000,MM,0
00350009,700020,5500002197.0,10,4.0,4.0,60.0,F,,708,708.0,Z011,X4,120740.0,21334.0,100,E20,2100,,5300014520.0,0.0,1.0,4,140200000,ST,0
00180003,702447,,0,,,,F,,215,215.0,Z001,Y4,,,1000,E13,2100,,5300094740.0,0.0,1.0,28,100300000,MM,0
