Material number,Supplier,Contract,Contract Position,Fulfillment time,Fixed contract 1,Fixed contract 2,Procurement type,Special procurement type,Dispatcher,Buyer,Purchasing group,Purchasing lot size,Total quantity,Total value,Price unit,Calendar,Plant,Plant information record,Information record number,Information record type,Plant processing time,Material master time,Product group,Base unit,Fulfillment time_z_score,Fulfillment time_outlier,Fixed contract 1_z_score,Fixed contract 1_outlier,Fixed contract 2_z_score,Fixed contract 2_outlier,Total quantity_z_score,Total quantity_outlier,Total value_z_score,Total value_outlier,Price unit_z_score,Price unit_outlier,Plant processing time_z_score,Plant processing time_outlier,Material master time_z_score,Material master time_outlier,anomaly_label,xgb_anomaly
00345241,3000,,0,,,,F,40.0,215,215.0,Z006,Z1,,,1,,2100,,,,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00346718,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,,,,1,3,80600000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60038465,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,,,,1,84,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
60038640,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,1,,3000,,,,1,84,80300000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
60014570,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,,,,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
28287702UB,3000,,0,,,,F,42.0,233,233.0,Z011,Y4,,,1,E15,2100,2000.0,5300529236.0,0.0,1,3,60100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
28287702UB,3000,,0,,,,F,42.0,233,233.0,Z011,Y4,,,1,E15,2100,2100.0,5300529236.0,0.0,1,3,60100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2000,2000.0,5300530239.0,0.0,1,1,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5171834804435497,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2000,2100.0,5300530239.0,0.0,1,1,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5171834804435497,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2000,2800.0,5300530239.0,0.0,1,1,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5171834804435497,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2100,2000.0,5300530239.0,0.0,1,91,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4380478699077775,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2100,2100.0,5300530239.0,0.0,1,91,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4380478699077775,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z011,Z7,,,1,,2100,2800.0,5300530239.0,0.0,1,91,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4380478699077775,0,0,0
60102743,3000,,0,,,,F,42.0,208,208.0,Z008,Z2,,,100,,2100,2000.0,5300529339.0,0.0,1,140,70300000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.9581182717657222,0,0,0
60102743,3000,,0,,,,F,42.0,208,208.0,Z008,Z2,,,100,,2100,2100.0,5300529339.0,0.0,1,140,70300000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.9581182717657222,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z003,Z1,,,1,,2800,2000.0,5300530239.0,0.0,1,1,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5171834804435497,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z003,Z1,,,1,,2800,2100.0,5300530239.0,0.0,1,1,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5171834804435497,0,0,0
60045005,3000,,0,,,,F,42.0,233,233.0,Z003,Z1,,,1,,2800,2800.0,5300530239.0,0.0,1,1,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5171834804435497,0,0,0
95151035,3000,,0,,,,F,42.0,215,215.0,Z012,Z3,,,100,,2100,2000.0,5300468755.0,0.0,1,14,90400000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.3792056187261358,0,0,0
24145403,3000,,0,,,,F,42.0,228,228.0,Z001,Z1,,,100,,2100,2100.0,5300530225.0,0.0,1,3,60200000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
25020053,3000,,0,,,,F,42.0,233,233.0,Z001,Z1,,,1,,2100,2000.0,5300529231.0,0.0,1,3,60100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
25020053,3000,,0,,,,F,42.0,233,233.0,Z001,Z1,,,1,,2100,2100.0,5300529231.0,0.0,1,3,60100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00394040,3000,,0,,,,F,42.0,206,206.0,Z001,Z1,,,1,,2100,2000.0,5300353039.0,0.0,1,30,520300000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.20938671199701092,0,0,0
00347587,3000,,0,,,,F,42.0,215,215.0,Z001,Z1,,,1,,2100,2000.0,5300409700.0,0.0,1,3,80400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
95193005,2000,,0,,,,F,72.0,202,202.0,Z012,Z1,,,1,,3000,2700.0,5300313258.0,0.0,1,35,10302000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.1563183036441594,0,0,0
60046975,2000,,0,,,,F,,215,215.0,Z012,Z1,,,100,,3000,2100.0,5300529278.0,0.0,1,14,10502000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.3792056187261358,0,0,0
34227303,2000,,0,,,,F,72.0,223,223.0,Z012,Z1,,,1,,3000,2700.0,5300277709.0,0.0,1,50,10300000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.0028869214143951057,0,0,0
34635306,2000,,0,,,,F,72.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300281982.0,0.0,1,42,10102000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.08202253195016732,0,0,0
34635307,2000,,0,,,,F,72.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300281983.0,0.0,1,42,10102000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.08202253195016732,0,0,0
60059904,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,2100.0,5300427425.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60021203,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529332.0,0.0,1,3,80300000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00347160,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529326.0,0.0,1,3,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
30097701,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1000,,2100,2100.0,5300529371.0,0.0,1,3,10301000,ST,,0,,0,,0,,0,,0,16.470180309001222,1,,0,0.4959561171024091,0,1,0
C1016502,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300317208.0,0.0,1,2,140200000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
60107424,2000,,0,,,,F,40.0,217,217.0,Z001,Z1,,,100,,2100,2100.0,5300529404.0,0.0,1,2,80100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
60107424,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,100,,3000,2100.0,5300529404.0,0.0,1,84,80100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.36375209821378535,0,0,0
80650103,2000,,0,,,,F,40.0,215,215.0,Z001,Y2,,,100,E13,2100,2100.0,5300295818.0,0.0,1,3,520100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
80650206,2000,,0,,,,F,40.0,215,215.0,Z001,Y2,,,100,E13,2100,2100.0,5300295843.0,0.0,1,3,520100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
80901223,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,100,,2100,2100.0,5300529378.0,0.0,1,999,520100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,10.075270826785612,1,1,1
60035245,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,100,E11,2100,2100.0,5300529338.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
25020873,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,100,,2100,2100.0,5300529367.0,0.0,1,3,60100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
30102717,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300529409.0,0.0,1,3,10102000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
00347243,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529399.0,0.0,1,2,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
00347250,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529400.0,0.0,1,2,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
00347253,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529401.0,0.0,1,2,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
00347256,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529402.0,0.0,1,2,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
00347264,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529327.0,0.0,1,3,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
00347265,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,100,,2100,2100.0,5300529328.0,0.0,1,3,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.4959561171024091,0,0,0
60076899,2000,,0,,,,F,40.0,217,217.0,Z001,Z1,,,1,,2100,2100.0,5300529403.0,0.0,1,2,80400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5065697987729794,0,0,0
60031632,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529333.0,0.0,1,3,80300000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60033980,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529335.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60033981,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529336.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60033982,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529337.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60019206,2000,,0,,,,F,40.0,215,215.0,Z001,Y4,,,1,E11,2100,2100.0,5300529329.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60019207,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529330.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60019209,2000,,0,,,,F,40.0,215,215.0,Z001,Z1,,,1,,2100,2100.0,5300529331.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60021830,2000,,0,,,,F,40.0,233,233.0,Z001,Z1,,,1,,2100,2100.0,5300530238.0,0.0,1,3,110400000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
35020275,2000,,0,,,,F,40.0,206,206.0,Z001,Z7,,,1,,2100,2100.0,5300529372.0,0.0,1,3,20000000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
36032507,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529373.0,0.0,1,3,70500000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
25453505,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529368.0,0.0,1,3,70300000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
30020663,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529369.0,0.0,1,3,60100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
04004013,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529362.0,0.0,1,3,80600000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
04005861,2000,,0,,,,F,40.0,206,206.0,Z001,Z1,,,1,,2100,2100.0,5300529363.0,0.0,1,3,80200000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00345313,2000,,0,,,,F,40.0,215,215.0,Z001,Y2,,,1,E13,2100,2100.0,5300210726.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60059904,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,2100.0,5300427425.0,0.0,1,84,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
95183656,2000,,0,,,,F,40.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300311794.0,0.0,1,999,10102000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,10.075270826785612,1,1,1
95183657,2000,,0,,,,F,40.0,202,202.0,Z012,Z1,,,100,,3000,2700.0,5300311795.0,0.0,1,999,10102000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,10.075270826785612,1,1,1
60059305,2000,,0,,,,F,40.0,216,216.0,Z001,Z1,,,1,,2100,2100.0,5300529397.0,0.0,1,2,550100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5065697987729794,0,0,0
60069943,2000,,0,,,,F,40.0,216,216.0,Z001,Z1,,,1,,2100,2100.0,5300529398.0,0.0,1,2,550100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.5065697987729794,0,0,0
60082304,2000,,0,,,,F,40.0,204,204.0,Z001,Z1,,,100,,2100,2100.0,5300529358.0,0.0,1,2,10200000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
60082906,2000,,0,,,,F,40.0,204,204.0,Z001,Z1,,,100,,2100,2100.0,5300529359.0,0.0,1,2,10200000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
60025915,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,2100.0,5300377356.0,0.0,1,84,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
60025916,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,3000,2100.0,5300377357.0,0.0,1,84,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
60012535,2000,,0,,,,F,40.0,217,217.0,Z001,Z1,,,1,,2100,2100.0,5300359067.0,0.0,1,3,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60012535,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,1,,3000,2100.0,5300359067.0,0.0,1,56,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.06656901143781692,0,0,0
60012851,2000,,0,,,,F,40.0,208,208.0,Z008,Z2,,,100,,3000,2700.0,5300504044.0,0.0,1,140,140300000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.9581182717657222,0,0,0
60017264,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,2100,,5300408441.0,0.0,1,3,100100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
60018637,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300416003.0,0.0,1,2,140700000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
60018647,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300433983.0,0.0,1,2,140100000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
60018658,2000,,0,,,,F,40.0,219,219.0,Z001,Z1,,,100,,2100,2100.0,5300433982.0,0.0,1,2,140700000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.5065697987729794,0,0,0
24937142,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,1,,2100,,5300256105.0,0.0,1,3,100100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.4959561171024091,0,0,0
00423304,2000,,0,,,,F,40.0,989,980.0,Z012,EX,,,1,,3000,3000.0,5300219668.0,0.0,1,35,550700000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.1563183036441594,0,0,0
00423305,2000,,0,,,,F,40.0,989,980.0,Z012,EX,,,1,,3000,3000.0,5300219669.0,0.0,1,35,550700000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.1563183036441594,0,0,0
00386179,2000,,0,,,,F,40.0,203,203.0,Z012,Y5,,,100,E11,3000,2700.0,5300214935.0,0.0,1,14,120000000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.3792056187261358,0,0,0
00386225,2000,,0,,,,F,40.0,203,203.0,Z012,Y3,,,100,E11,3000,2700.0,5300214967.0,0.0,1,20,120000000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.31552352870271394,0,0,0
60025524,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,100,,3000,,5300376535.0,0.0,1,84,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.36375209821378535,0,0,0
60025524,2000,,0,,,,F,40.0,215,215.0,Z012,Z1,,,100,,3000,2100.0,5300376535.0,0.0,1,84,80600000,ST,,0,,0,,0,,0,,0,0.9097002434752389,0,,0,0.36375209821378535,0,0,0
60107680,2000,,0,,,,F,40.0,217,217.0,Z012,Z1,,,1,,3000,2100.0,5300529406.0,0.0,1,84,80100000,ST,,0,,0,,0,,0,,0,0.801952563732619,0,,0,0.36375209821378535,0,0,0
